method,cut,n_tickers,cum_return_mean,cum_return_median,cagr_mean,cagr_median,max_drawdown_mean,max_drawdown_median,time_in_market_mean,n_beats_bh
HMA16,total,13,4.513203037945756,2.267236117547854,0.2901821363561046,0.2324537509959428,-0.5089935876752913,-0.48369170476509815,0.5526447522109128,0.0
HMA16,is,13,4.038561277831212,2.6285009783946807,0.45161343782390995,0.3847883012177473,-0.4294972256164401,-0.40907137799446713,0.5658261077082174,0.0
HMA16,oos,13,0.00144633290164495,-0.0995631151811503,-0.008735070806555138,-0.05972667692530176,-0.450407713591665,-0.43765708190638464,0.5220044378698225,2.0
EMA_12_26,total,13,6.145853399224389,5.799191011170886,0.39714188899301384,0.402676338717588,-0.48594465051171354,-0.4965787752023373,0.6518716280104566,0.0
EMA_12_26,is,13,5.082818436904285,4.470102970972799,0.5497896607558383,0.5360762139270459,-0.4192890914821183,-0.42283933522360106,0.6908758253122266,0.0
EMA_12_26,oos,13,0.2126152545437257,0.1579666844842127,0.11359401610112914,0.08994232365854771,-0.4391387253701949,-0.42598516128553177,0.5612056213017753,1.0
SMA_10_50_100,total,13,10.655439378700581,11.7726152479798,0.501965949553514,0.5678215172936953,-0.4445759625433018,-0.4163576524408328,0.6142165860170199,0.0
SMA_10_50_100,is,13,8.56855966624965,8.177988257448398,0.7228738742407514,0.7505867065509007,-0.37544552115238083,-0.3806792116482587,0.6575451435844404,0.0
SMA_10_50_100,oos,13,0.20812546081894234,0.2436347179457658,0.10849426633823986,0.1365941074784649,-0.3926497270871362,-0.35341555977229655,0.5134985207100592,4.0
B&H,total,13,52.41828636966745,47.29769230769231,0.9895919536685563,0.9827647935312769,-0.46114909883380695,-0.38118773044637955,1.0,
B&H,is,13,32.970496612414266,31.650944206008585,1.394510132055275,1.4121261359411474,-0.3791906797981789,-0.37416599946623963,1.0,
B&H,oos,13,0.5796405499969439,0.5993394077448746,0.30323271351201925,0.31752160701947885,-0.42740562941604854,-0.37985546522131886,1.0,
