method,cut,cost,n_tickers,n_trades_total,cagr_mean,cagr_median,cum_return_mean,cum_return_median,n_beats_bh
HMA16,total,0.0,12,903,0.0716826408603445,0.0795339597088367,0.6596107528555136,0.5446200161770057,2.0
HMA16,total,0.005,12,903,0.002829528012394953,0.014179577754468986,0.15027951817765905,0.08474327138170334,0.0
HMA16,total,0.01,12,903,-0.061884030878344355,-0.04991620089626492,-0.20301152527942012,-0.2508622370457772,0.0
HMA16,is,0.0,12,614,0.12630108492723777,0.143895715483208,0.7051481762069605,0.7027828072779274,1.0
HMA16,is,0.005,12,614,0.056076245624312626,0.07179393794903022,0.32618170859731643,0.31591374559005003,1.0
HMA16,is,0.01,12,614,-0.010053245660046747,-0.0003688439759427231,0.030900536253183463,-0.0014544462645500467,1.0
HMA16,oos,0.0,12,289,-0.04084194909603231,-0.04216650305901731,-0.0624078128856716,-0.07072919737376776,2.0
HMA16,oos,0.005,12,289,-0.10656412230015348,-0.10617871686672314,-0.16854616134472136,-0.17399258408074586,1.0
HMA16,oos,0.01,12,289,-0.16803695731255167,-0.1641429868478893,-0.2629937020062514,-0.26312057939246347,1.0
EMA_12_26,total,0.0,12,424,0.05610520804643399,0.059192048671411146,0.6427953765079061,0.38507830831295764,0.0
EMA_12_26,total,0.005,12,424,0.023444707377302837,0.028126555652466134,0.37469235798254114,0.17014389050035483,0.0
EMA_12_26,total,0.01,12,424,-0.008361108495317543,-0.0021818244813054943,0.14948598496067253,-0.012294307098784596,0.0
EMA_12_26,is,0.0,12,307,0.036673459532093215,0.0303783297635305,0.2927659297527616,0.12601193325882665,0.0
EMA_12_26,is,0.005,12,307,0.003302676768798326,-0.0026106018314841495,0.13523876715628072,-0.009949127271793812,0.0
EMA_12_26,is,0.01,12,307,-0.029151982361204882,-0.03470387895718502,-0.0036828305326990496,-0.13003330160445098,0.0
EMA_12_26,oos,0.0,12,117,0.12294453068806656,0.1236594308159904,0.2443148525638589,0.22044359268780733,4.0
EMA_12_26,oos,0.005,12,117,0.09143760815703299,0.0946147824995267,0.1856358749271951,0.16722464862565034,4.0
EMA_12_26,oos,0.01,12,117,0.060674412062989964,0.06617923038364804,0.1294829707729108,0.1160741303498315,4.0
SMA_10_50_100,total,0.0,12,250,-0.0017342825028159685,-0.016796970880213646,0.09106802707360924,-0.09020742230125983,0.0
SMA_10_50_100,total,0.005,12,250,-0.020292096052776477,-0.036841392754275726,-0.019777947100012756,-0.19075673192853315,0.0
SMA_10_50_100,total,0.01,12,250,-0.038594012634155905,-0.056574640918180985,-0.1197105017790293,-0.2805571883190126,0.0
SMA_10_50_100,is,0.0,12,183,-0.024109673895919215,-0.036231842493279764,-0.04163628986371413,-0.13590474481690934,0.0
SMA_10_50_100,is,0.005,12,183,-0.043140907794714224,-0.05538051482387879,-0.11319635647549141,-0.20188611122835143,0.0
SMA_10_50_100,is,0.01,12,183,-0.06189209997701473,-0.07424656705155436,-0.17968219352725415,-0.26313425245335603,0.0
SMA_10_50_100,oos,0.0,12,67,0.059390726394556635,0.086493927549254,0.11230797584215851,0.15173497409045011,2.0
SMA_10_50_100,oos,0.005,12,67,0.04195426661092962,0.0699399355173036,0.08116508539796057,0.12201273600566609,1.0
SMA_10_50_100,oos,0.01,12,67,0.024735581019934467,0.05272092152911456,0.05079550112334092,0.091440386745955,1.0
B&H,total,0.0,12,12,0.27670583820783107,0.2852149549590195,3.4953333325626175,3.142938728889614,
B&H,total,0.005,12,12,0.2763791402323732,0.2849409939590234,3.490333332562617,3.137938728889614,
B&H,total,0.01,12,12,0.2760518863290028,0.2846667602187696,3.4853333325626177,3.132938728889614,
B&H,is,0.0,12,12,0.32109455228424505,0.3647618678872656,2.257974492508786,2.4340740740740747,
B&H,is,0.005,12,12,0.32047786639954917,0.3642570474951705,2.2529744925087862,2.429074074074075,
B&H,is,0.01,12,12,0.3198599818016008,0.3637516699043679,2.2479744925087863,2.424074074074075,
B&H,oos,0.0,12,12,0.19905089204052015,0.25510190316092496,0.3807551871806045,0.47255298880685875,
B&H,oos,0.005,12,12,0.1964238218598983,0.2525973214693238,0.37575518718060447,0.46755298880685875,
B&H,oos,0.01,12,12,0.19379231824665535,0.25008921348174984,0.3707551871806045,0.46255298880685874,
