local,adr,ratio,emp_ratio,source,n_common,correlation,avg_lag,mean_pct_dev
GGAL_BA,GGAL,10,9.704918157858927,yfinance,1347,0.9994468988973428,0,3.6596294924665234
BBAR_BA,BBAR,3,2.913461510951702,yfinance,1347,0.9992027488394679,0,3.6881614087982606
PAMP_BA,PAM,25,24.206029230625784,yfinance,1347,0.998733659334606,0,3.837722865832932
EDN_BA,EDN,20,19.374999403953552,yfinance,1347,0.9991158718672365,0,3.933178347618227
TGSU2_BA,TGS,5,4.846938775510204,yfinance,1347,0.9989332994321816,0,3.9466714207650835
TECO2_BA,TEO,5,4.84306586049769,yfinance,1347,0.9965245139810458,0,3.949219452075195
YPFD_BA,YPF,1,0.9685766674894942,yfinance,1347,0.9994140447596975,0,3.971836311127091
BMA_BA,BMA,10,9.685279342728823,yfinance,1347,0.9991312420725114,0,4.044881125657765
CEPU_BA,CEPU,10,9.682539531162806,yfinance,1347,0.998514329378371,0,4.093878920254037
SUPV_BA,SUPV,5,4.836734460324657,yfinance,1347,0.9994491868074865,0,4.106917514528825
LOMA_BA,LOMA,5,4.8374998569488525,yfinance,1347,0.9938353092681014,0,4.213320263919987
IRSA_BA,IRS,10,10.100651556445706,yfinance,1347,0.99660571677346,0,4.397336867513051
CRES_BA,CRESY,10,8.753269248538547,yfinance,1347,0.9906934786700248,0,12.400720442618917
