Date,Open,High,Low,Close,Volume
2020-09-14,51.0,52.79,50.6,51.87,7956971.0
2020-09-15,51.9,51.9,51.0,51.08,4994475.5
2020-09-16,50.45,50.45,47.8,47.96,7519965.0
2020-09-17,47.8,47.8,46.61,46.9,6068609.0
2020-09-18,46.89,47.87,46.5,47.1,7079016.0
2020-09-21,46.5,46.5,44.75,46.12,8498999.0
2020-09-22,46.84,46.84,44.78,45.39,8927656.0
2020-09-23,44.97,46.78,43.61,46.55,12433737.0
2020-09-24,46.5,46.99,45.24,46.0,12080774.0
2020-09-25,46.1,46.46,45.17,45.2,7490402.0
2020-09-28,45.26,46.11,44.75,44.9,9803555.0
2020-09-29,44.07,45.0,44.07,44.67,8879085.0
2020-09-30,44.71,44.85,44.35,44.6,9302272.0
2020-10-01,44.6,44.95,44.3,44.7,10772085.0
2020-10-02,44.34,44.39,43.71,44.3,11007743.0
2020-10-05,44.12,44.44,43.11,44.4,12724022.0
2020-10-06,44.01,44.61,43.6,44.45,13607503.0
2020-10-07,44.01,44.8,43.81,44.8,11819085.0
2020-10-08,44.8,44.8,44.05,44.7,12221962.0
2020-10-09,44.7,44.78,44.0,44.73,20738882.0
2020-10-13,44.01,44.78,44.01,44.74,16514199.0
2020-10-14,44.39,44.76,43.95,44.45,15579155.0
2020-10-15,44.11,44.6,44.01,44.4,18076040.0
2020-10-16,44.06,44.5,44.0,44.19,15659825.0
2020-10-19,44.1,44.11,42.73,43.35,15865882.0
2020-10-20,43.03,43.05,40.8,41.38,17998582.0
2020-10-21,40.99,40.99,39.2,40.3,18029806.0
2020-10-22,39.98,40.2,39.1,40.1,18947254.0
2020-10-23,39.53,40.43,39.22,40.15,15758103.0
2020-10-26,39.98,40.0,38.3,38.23,9528040.0
2020-10-27,38.0,39.49,37.5,39.22,11910345.0
2020-10-28,38.8,39.15,38.0,38.8,12587698.0
2020-10-29,38.5,39.0,38.25,38.74,9318654.0
2020-10-30,38.7,38.74,37.9,38.05,9355258.0
2020-11-02,38.05,38.7,37.75,38.64,10531812.0
2020-11-03,38.7,38.9,38.15,38.38,12026693.0
2020-11-04,38.1,38.46,37.93,38.39,11801946.0
2020-11-05,38.4,38.4,37.95,37.99,11091238.0
2020-11-06,37.9,38.06,37.75,38.0,5361906.0
2020-11-09,38.5,38.85,38.05,38.35,11874893.0
2020-11-10,38.25,38.49,38.1,38.4,7624949.0
2020-11-11,38.21,39.49,38.18,39.2,10145126.0
2020-11-12,39.0,39.8,38.6,39.47,13922624.0
2020-11-13,39.15,39.96,39.15,39.9,12866444.0
2020-11-16,39.99,40.49,39.66,40.26,9986768.0
2020-11-17,39.99,40.3,39.95,40.18,9562195.0
