Date,Open,High,Low,Close,Volume
2020-09-04,138.8,139.8,134.5,138.55,10008551.0
2020-09-07,139.8,143.5,138.05,142.25,6129404.5
2020-09-08,139.9,143.0,137.0,142.8,14295539.0
2020-09-09,146.0,147.55,144.0,145.95,18039348.0
2020-09-10,146.6,151.25,146.6,148.6,24698454.0
2020-09-11,148.65,148.65,143.1,144.3,13050615.0
2020-09-14,146.25,146.25,138.05,138.2,12848211.0
2020-09-15,137.5,140.0,133.0,133.7,19239338.0
2020-09-16,129.5,130.25,122.0,122.35,67978072.0
2020-09-17,121.5,122.0,115.9,117.65,59391968.0
2020-09-18,114.55,124.95,114.55,123.25,27052066.0
2020-09-21,118.0,121.0,117.5,120.85,14925928.0
2020-09-22,123.0,123.0,117.95,121.35,23516964.0
2020-09-23,123.0,123.0,116.95,117.85,47981768.0
2020-09-24,118.05,124.85,118.05,123.4,19764950.0
2020-09-25,124.55,125.75,120.0,124.5,10220864.0
2020-09-28,125.6,128.0,122.0,124.25,8294601.5
2020-09-29,124.0,126.5,120.3,122.65,13572917.0
2020-09-30,124.6,125.8,118.0,121.5,50325472.0
2020-10-01,122.1,125.9,120.4,125.5,13515120.0
2020-10-02,125.3,128.5,123.3,128.15,9908753.0
2020-10-05,127.05,130.0,126.0,129.85,15689366.0
2020-10-06,131.6,136.45,124.0,125.35,37710468.0
2020-10-07,126.8,127.5,123.5,124.05,38088172.0
2020-10-08,127.0,128.75,125.1,128.1,13241691.0
2020-10-09,131.0,131.0,127.5,129.1,24838970.0
2020-10-13,128.1,128.75,124.0,127.1,33718496.0
2020-10-14,129.5,131.5,127.0,130.7,35765228.0
2020-10-15,130.7,135.0,129.0,133.85,21623160.0
2020-10-16,136.0,143.0,132.65,142.6,40717012.0
2020-10-19,144.95,151.65,140.8,142.3,56207924.0
2020-10-20,145.0,147.0,139.5,142.15,30203462.0
2020-10-21,142.15,147.35,142.15,146.05,38843800.0
2020-10-22,147.0,158.25,147.0,156.1,79304544.0
2020-10-23,156.05,159.0,150.5,157.0,38672928.0
2020-10-26,156.0,156.0,143.5,144.3,27501720.0
2020-10-27,146.0,146.7,134.0,134.8,21857032.0
2020-10-28,129.9,130.5,122.0,122.3,33464388.0
2020-10-29,124.5,128.0,119.0,124.25,15547959.0
2020-10-30,125.05,127.0,121.6,125.5,12212742.0
2020-11-02,126.2,141.0,126.2,139.65,23565748.0
2020-11-03,140.8,146.6,136.0,139.05,21347146.0
2020-11-04,140.0,143.9,135.5,136.25,13117022.0
2020-11-05,137.0,147.1,137.0,143.85,27769004.0
2020-11-06,147.0,148.0,139.0,142.85,10282572.0
2020-11-09,147.1,153.65,147.1,153.4,37374188.0
2020-11-10,154.1,164.3,150.2,162.85,80712824.0
2020-11-11,164.2,165.5,156.7,157.4,57458732.0
2020-11-12,158.0,158.0,148.15,149.0,20280218.0
2020-11-13,149.0,155.55,149.0,154.0,19672600.0
2020-11-16,158.0,162.0,156.05,156.4,13881421.0
2020-11-17,156.0,161.0,152.0,159.85,23387792.0
2020-11-18,159.9,159.9,151.8,152.15,23420720.0
2020-11-19,153.0,157.0,150.0,152.5,30193882.0
2020-11-20,150.3,155.45,150.0,154.65,15507600.0
2020-11-24,154.0,165.0,152.7,164.7,49767120.0
2020-11-25,164.0,167.0,159.65,166.4,32206390.0
2020-11-26,165.0,167.5,164.0,166.75,12000523.0
2020-11-27,167.0,176.0,164.0,175.1,46644368.0
2020-11-30,176.95,177.95,167.75,171.6,39799736.0
2020-12-01,170.75,174.0,165.25,170.35,22826642.0
2020-12-02,172.8,172.8,164.0,169.7,21416536.0
2020-12-03,169.5,175.0,167.6,168.45,13197409.0
2020-12-04,168.45,169.95,166.0,168.5,8153049.0
2020-12-09,167.5,167.5,158.0,159.1,17422288.0
2020-12-10,160.0,161.0,157.5,160.85,6795342.0
2020-12-11,160.85,162.05,158.0,161.25,10369916.0
2020-12-14,161.0,162.0,153.05,156.85,25530272.0
2020-12-15,158.85,160.0,152.9,159.4,8710734.0
2020-12-16,161.0,161.0,153.8,154.1,31246200.0
2020-12-17,150.05,158.0,149.2,150.05,73518448.0
2020-12-18,151.05,153.5,143.0,145.65,42071328.0
2020-12-21,142.5,145.75,137.0,143.4,35357636.0
2020-12-22,143.35,149.5,142.0,147.7,35989496.0
2020-12-23,147.7,154.5,145.0,154.15,10763988.0
2020-12-28,154.15,156.25,148.0,150.55,22634550.0
2020-12-29,151.0,158.9,151.0,154.7,15507241.0
