Date,Open,High,Low,Close,Volume
2020-09-04,241.95,241.95,231.0,235.75,62313964
2020-09-07,242.9,242.9,234.5,240.55,17680154
2020-09-08,236.0,238.6,230.0,235.65,92879608
2020-09-09,237.1,239.8,234.0,238.3,43392928
2020-09-10,241.0,246.55,240.05,243.5,181103264
2020-09-11,243.0,243.0,231.9,233.35,74835632
2020-09-14,233.0,233.0,224.5,226.15,81806104
2020-09-15,223.5,228.65,218.05,224.75,49834884
2020-09-16,216.0,220.0,203.5,205.95,189729600
2020-09-17,204.5,206.0,198.0,199.35,198852864
2020-09-18,199.0,210.5,199.0,209.8,90812408
2020-09-21,204.25,206.5,198.0,205.1,79242872
2020-09-22,206.0,209.65,198.7,205.3,83359240
2020-09-23,205.0,205.0,199.1,201.2,56345616
2020-09-24,205.0,211.8,202.0,208.15,162191024
2020-09-25,206.9,212.9,205.05,211.75,37451900
2020-09-28,215.1,216.5,207.2,210.15,40185396
2020-09-29,208.05,212.0,205.6,209.95,48736096
2020-09-30,211.0,214.5,206.0,207.6,87338456
2020-10-01,209.75,215.5,208.0,214.85,37116720
2020-10-02,213.0,215.0,208.5,214.15,39549896
2020-10-05,210.05,215.0,210.0,211.65,55736032
2020-10-06,213.6,223.0,207.35,208.8,78030432
2020-10-07,213.0,215.8,206.0,210.85,44169832
2020-10-08,211.25,217.5,211.0,216.95,50260172
2020-10-09,220.0,220.0,215.5,218.0,37870412
2020-10-13,217.5,217.5,209.4,213.85,46265888
2020-10-14,214.5,219.15,210.0,215.1,52006356
2020-10-15,217.95,225.0,215.3,222.25,147909312
2020-10-16,223.0,231.0,220.1,230.0,106163840
2020-10-19,233.45,239.9,229.0,231.45,109339800
2020-10-20,234.9,235.0,221.5,225.1,52490940
2020-10-21,223.45,228.8,223.0,226.5,150281536
2020-10-22,228.8,236.95,222.1,234.85,73043272
2020-10-23,237.0,237.0,229.3,233.6,91443744
2020-10-26,232.0,232.85,214.0,216.65,84584600
2020-10-27,216.65,222.0,203.2,204.85,38971164
2020-10-28,201.5,201.5,185.75,186.15,97981104
2020-10-29,190.05,193.9,183.5,192.2,54035144
2020-10-30,195.0,195.0,184.2,186.1,60511660
2020-11-02,190.05,206.0,187.4,204.0,75723088
2020-11-03,208.75,213.4,202.2,205.05,95602032
2020-11-04,208.9,208.9,196.65,199.35,67564816
2020-11-05,202.0,216.45,200.5,211.9,89605304
2020-11-06,217.0,217.5,207.0,214.05,49781540
2020-11-09,221.0,228.95,221.0,228.15,126368808
2020-11-10,228.0,246.0,227.55,245.35,162874160
2020-11-11,248.8,248.8,231.15,237.1,91517632
2020-11-12,235.0,236.0,223.5,224.4,107147384
2020-11-13,226.3,227.75,220.0,227.2,66638772
2020-11-16,230.0,237.9,226.1,227.35,63365952
2020-11-17,226.0,234.9,213.95,233.8,50444824
2020-11-18,233.5,234.0,225.6,226.35,49582212
2020-11-19,226.95,240.0,224.0,228.3,54608352
2020-11-20,228.0,235.4,226.1,235.0,33281352
2020-11-24,236.0,254.1,233.0,252.3,215543856
2020-11-25,252.0,254.5,244.0,253.05,345691680
2020-11-26,250.0,257.5,250.0,254.2,43777604
2020-11-27,257.9,259.5,250.5,258.9,75911736
2020-11-30,260.95,260.95,245.0,247.25,253594432
2020-12-01,247.55,250.9,244.0,245.6,58657056
2020-12-02,245.95,252.0,241.5,248.6,88226032
2020-12-03,250.0,252.5,244.0,244.25,70896736
2020-12-04,246.5,249.15,241.05,243.7,26193060
2020-12-09,241.55,242.0,231.0,232.1,74279976
2020-12-10,233.0,241.0,230.05,236.15,99132416
2020-12-11,236.0,239.9,232.0,235.8,27218094
2020-12-14,236.0,239.8,229.05,231.6,46354472
2020-12-15,234.5,236.0,230.25,233.9,31972276
2020-12-16,236.95,237.8,231.0,235.1,48011288
2020-12-17,238.2,241.0,232.0,233.95,79872312
2020-12-18,237.0,237.0,227.0,227.75,71546168
2020-12-21,226.0,226.0,215.0,215.25,53935224
2020-12-22,216.0,225.2,216.0,220.25,44488352
2020-12-23,222.5,229.0,215.0,226.15,60299856
2020-12-28,220.0,227.85,220.0,223.4,47723256
2020-12-29,227.95,232.9,223.0,230.25,33422610
2020-12-30,233.0,236.0,225.55,227.3,40756572
2021-01-04,231.5,231.5,216.0,218.6,71677888
2021-01-05,220.5,222.0,214.0,220.85,141667936
2021-01-06,221.75,223.7,216.5,218.15,62473468
2021-01-07,215.5,225.5,215.5,222.45,46879720
2021-01-08,225.7,226.5,219.0,221.55,27453266
2021-01-11,220.25,220.25,214.0,214.2,98304104
2021-01-12,217.8,219.8,214.5,217.45,25962356
2021-01-13,218.5,219.0,212.1,213.35,32774314
2021-01-14,214.0,217.9,213.4,217.5,33047008
2021-01-15,212.0,218.0,211.35,213.7,15780408
2021-01-18,214.0,214.5,209.3,212.45,9656372
2021-01-19,212.0,216.2,209.0,211.4,68226104
2021-01-20,210.0,214.4,208.1,212.9,56080564
2021-01-21,212.5,214.95,207.0,207.25,36910540
2021-01-22,206.0,209.4,202.35,204.0,34372460
2021-01-25,204.0,210.0,199.95,200.25,52995720
2021-01-26,200.5,214.75,200.5,213.7,35420924
2021-01-27,212.0,213.7,205.55,212.8,42194620
2021-01-28,212.8,215.0,209.2,211.0,17792534
2021-01-29,214.8,214.9,203.2,203.7,18972772
2021-02-01,204.0,211.95,203.8,207.9,20697344
2021-02-02,207.6,212.95,205.0,205.9,56793052
2021-02-03,205.1,210.95,205.1,206.15,23712328
2021-02-04,208.0,213.85,206.0,213.6,27239994
2021-02-05,216.5,222.9,215.0,222.0,37188352
2021-02-08,225.0,232.25,223.95,229.0,122629248
2021-02-09,227.9,229.0,225.0,227.75,59943120
2021-02-10,225.5,231.5,224.5,226.0,36943916
2021-02-11,226.0,229.5,225.25,227.2,15094634
2021-02-12,225.0,231.0,221.5,223.75,28587538
2021-02-17,225.6,233.55,225.6,229.5,28555282
2021-02-18,232.0,241.95,226.0,230.0,106666216
2021-02-19,231.0,233.4,220.5,222.5,86783328
2021-02-22,220.95,220.95,206.0,206.15,41898116
2021-02-23,203.0,210.3,198.8,200.2,50285184
2021-02-24,202.5,215.75,202.5,214.0,27329268
2021-02-25,216.7,218.0,202.0,206.4,25339272
2021-02-26,207.0,210.85,200.0,202.15,39589512
2021-03-01,205.5,213.5,205.0,213.35,22680238
2021-03-02,213.3,217.0,208.55,212.85,24253008
2021-03-03,213.0,213.5,203.5,206.95,20700326
2021-03-04,210.0,217.0,202.75,205.75,47139264
2021-03-05,207.0,208.9,196.9,200.05,84372824
2021-03-08,203.85,203.85,190.75,195.6,33054418
2021-03-09,197.0,202.2,190.3,201.1,38741496
2021-03-10,200.0,209.9,196.0,209.4,53926128
2021-03-11,212.0,215.0,204.0,209.95,27498074
2021-03-12,214.0,218.0,206.3,216.05,44274580
2021-03-15,218.5,226.0,218.5,222.5,77533136
2021-03-16,222.05,224.9,218.7,220.1,64681224
2021-03-17,220.1,223.5,215.75,223.0,46139336
2021-03-18,220.8,223.3,212.0,213.1,38179584
2021-03-19,213.1,218.35,210.65,214.6,24637482
2021-03-22,215.0,216.9,211.0,216.45,30764758
2021-03-23,216.95,220.0,213.25,216.9,34608160
2021-03-25,208.95,209.5,200.0,202.35,160801024
2021-03-26,204.5,205.0,199.0,200.1,51885372
2021-03-29,202.95,202.95,196.0,198.2,39094248
2021-03-30,199.0,199.95,196.75,199.05,30625954
2021-03-31,199.2,199.25,195.25,196.9,77886944
2021-04-05,197.0,197.6,193.0,196.55,95372160
2021-04-06,197.0,207.5,197.0,206.45,70311240
2021-04-07,207.0,208.0,201.0,201.85,32907056
2021-04-08,200.0,204.15,200.0,201.75,11544770
2021-04-09,201.85,201.85,198.2,198.5,27820598
2021-04-12,198.4,198.4,191.0,192.15,37852776
2021-04-13,192.0,196.0,191.0,194.1,19746260
2021-04-14,195.1,198.5,191.9,192.85,16420292
2021-04-15,193.0,193.7,189.0,189.25,22941464
