Date,Open,High,Low,Close,Volume
2020-09-04,30.0,30.8,29.5,30.05,6394325.0
2020-09-07,30.5,31.6,30.05,30.35,4568602.5
2020-09-08,30.4,31.25,30.0,30.45,20553844.0
2020-09-09,31.5,31.5,30.3,30.7,6212568.5
2020-09-10,30.35,31.4,30.05,30.6,7780496.5
2020-09-11,30.7,31.05,30.1,30.3,14518138.0
2020-09-14,30.5,30.7,29.4,29.75,10273222.0
2020-09-15,29.6,29.85,28.2,29.75,17886036.0
2020-09-16,28.7,29.5,27.0,27.5,12527909.0
2020-09-17,27.8,28.0,25.9,26.45,21543230.0
2020-09-18,26.5,28.35,26.5,28.05,25030952.0
2020-09-21,28.0,28.4,27.2,27.55,12844566.0
2020-09-22,27.65,28.7,27.55,28.6,14948008.0
2020-09-23,28.95,29.9,28.65,28.9,12964955.0
2020-09-24,28.9,29.8,28.55,29.55,12094450.0
2020-09-25,29.8,31.15,29.6,30.85,12680089.0
2020-09-28,30.8,32.0,29.5,30.1,11104770.0
2020-09-29,30.5,31.35,29.3,31.1,16228229.0
2020-09-30,31.1,31.3,29.85,30.15,30149298.0
2020-10-01,30.3,31.7,30.3,31.3,16596991.0
2020-10-02,31.0,32.0,30.6,31.75,9943142.0
2020-10-05,32.0,32.25,31.3,31.7,9344004.0
2020-10-06,32.0,32.8,31.0,32.45,19869852.0
2020-10-07,32.45,34.15,31.5,33.65,27151494.0
2020-10-08,33.0,35.0,32.9,34.25,22512324.0
2020-10-09,34.2,34.5,33.5,33.65,8878286.0
2020-10-13,33.75,35.0,33.75,34.8,28542678.0
2020-10-14,35.2,36.8,34.8,36.45,26794636.0
2020-10-15,36.0,36.75,34.0,35.9,27727440.0
2020-10-16,36.6,36.6,33.5,35.95,22201230.0
2020-10-19,36.0,38.15,36.0,37.3,26298380.0
2020-10-20,37.4,39.2,36.4,39.0,17834066.0
2020-10-21,39.1,40.0,38.75,39.4,25317922.0
2020-10-22,40.0,40.9,39.4,40.75,30244846.0
2020-10-23,41.0,41.1,39.0,41.0,18080012.0
2020-10-26,40.9,41.0,39.4,39.75,17697814.0
2020-10-27,39.3,39.7,36.45,37.05,16283305.0
2020-10-28,36.05,36.75,33.5,34.15,15374595.0
2020-10-29,33.7,36.5,33.0,36.15,17622118.0
2020-10-30,36.9,36.9,33.95,34.1,13385289.0
2020-11-02,34.45,35.75,33.1,34.95,10298551.0
2020-11-03,35.95,36.75,34.85,36.7,11876064.0
2020-11-04,36.7,37.1,35.0,35.55,14704986.0
2020-11-05,35.9,37.25,35.3,36.9,54949872.0
2020-11-06,37.5,38.6,36.3,38.45,13894299.0
