Date,Open,High,Low,Close,Volume
2020-09-04,42.05,42.9,40.5,42.65,5111544.5
2020-09-07,40.15,43.45,40.15,42.9,1957101.0
2020-09-08,41.6,43.3,40.6,42.1,4794612.0
2020-09-09,42.1,43.1,41.1,41.65,7179611.0
2020-09-10,41.4,42.05,41.1,41.25,10217863.0
2020-09-11,41.1,41.55,40.0,40.9,6140747.0
2020-09-14,41.5,41.75,40.5,40.65,4201150.0
2020-09-15,40.5,41.0,38.5,39.9,5548841.0
2020-09-16,38.5,41.3,37.75,38.7,10373335.0
2020-09-17,39.4,39.4,36.55,37.55,8244685.5
2020-09-18,37.55,40.0,36.9,38.75,5524953.0
2020-09-21,38.6,39.65,37.5,38.5,3866455.75
2020-09-22,38.6,39.5,37.45,39.45,6359510.0
2020-09-23,39.45,40.55,38.7,39.2,7388292.0
2020-09-24,38.2,40.25,38.2,39.95,11880562.0
2020-09-25,40.5,42.15,38.5,42.1,6020536.5
2020-09-28,42.0,43.0,39.6,40.5,20389006.0
2020-09-29,40.0,40.2,39.1,39.7,14670160.0
2020-09-30,40.0,41.7,39.6,40.05,10445863.0
2020-10-01,40.1,44.0,40.1,43.2,16007819.0
2020-10-02,43.15,43.15,41.5,42.8,7953542.0
2020-10-05,42.95,44.0,42.25,43.45,6546354.0
2020-10-06,43.2,45.4,43.0,44.45,27898112.0
2020-10-07,45.05,46.25,43.95,45.9,21651042.0
2020-10-08,46.2,47.5,45.75,47.15,14069250.0
2020-10-09,47.15,48.4,45.85,48.35,22732540.0
2020-10-13,48.5,50.3,47.2,49.7,29015848.0
2020-10-14,49.45,51.15,48.0,50.95,17153626.0
2020-10-15,50.9,51.85,47.5,50.6,21012246.0
2020-10-16,50.0,51.75,48.0,49.35,18547862.0
2020-10-19,49.0,51.6,48.2,49.1,19895626.0
2020-10-20,49.3,50.2,48.5,49.6,14235379.0
2020-10-21,49.9,51.7,49.9,51.2,17698772.0
2020-10-22,51.0,52.25,50.7,51.9,12844910.0
2020-10-23,52.0,57.3,51.0,56.4,31493296.0
2020-10-26,56.0,56.0,51.0,53.4,18814952.0
2020-10-27,52.0,53.5,47.4,49.1,11471542.0
2020-10-28,47.5,48.8,45.0,46.25,8246899.0
2020-10-29,45.0,50.4,45.0,49.45,8408382.0
2020-10-30,50.05,50.05,47.45,49.0,16483374.0
2020-11-02,50.1,54.5,49.0,53.8,19170298.0
2020-11-03,54.0,58.2,52.1,54.95,28582142.0
2020-11-04,55.95,55.95,53.1,53.5,6910124.0
2020-11-05,55.0,56.05,53.5,55.45,8898550.0
2020-11-06,55.45,56.05,53.5,54.35,8401649.0
2020-11-09,54.6,57.65,54.6,56.45,15698173.0
2020-11-10,56.45,58.0,55.0,56.25,12944076.0
2020-11-11,56.95,57.0,55.65,56.0,10376226.0
2020-11-12,56.0,58.0,53.55,54.05,10495109.0
2020-11-13,55.0,56.5,51.0,52.7,14926201.0
2020-11-16,52.9,57.1,52.0,55.2,14181970.0
2020-11-17,55.5,58.45,54.5,58.3,11018667.0
2020-11-18,58.0,63.3,57.85,60.3,38533896.0
2020-11-19,59.9,61.9,58.0,58.3,13382508.0
2020-11-20,59.3,60.95,57.9,60.0,15401072.0
2020-11-24,60.5,62.5,58.9,59.65,11656892.0
2020-11-25,60.0,62.25,58.45,58.55,8450532.0
2020-11-26,58.55,59.6,57.0,59.15,3617385.5
2020-11-27,59.2,59.75,57.5,58.0,7058634.5
2020-11-30,58.0,59.95,57.6,58.7,9598216.0
2020-12-01,58.7,60.5,58.7,59.15,8071092.5
2020-12-02,58.5,60.2,56.25,58.35,12961859.0
2020-12-03,58.35,59.6,58.3,58.6,6801465.0
2020-12-04,58.65,60.5,58.65,60.0,10925784.0
2020-12-09,60.1,62.45,58.0,58.9,35031612.0
2020-12-10,59.1,60.0,57.0,58.55,10155842.0
2020-12-11,58.05,59.5,57.7,58.5,2129765.5
2020-12-14,57.7,60.0,57.2,58.7,9521429.0
2020-12-15,59.95,59.95,57.2,57.35,10732342.0
2020-12-16,57.0,58.4,55.2,55.3,7995809.5
2020-12-17,55.3,56.0,54.6,55.45,16938088.0
2020-12-18,55.5,57.0,54.6,54.7,14049256.0
2020-12-21,54.45,54.95,51.5,52.5,15431855.0
2020-12-22,52.0,54.75,52.0,54.15,22859794.0
2020-12-23,53.3,56.0,53.25,55.8,20843748.0
2020-12-28,55.85,59.0,55.85,58.3,28131044.0
2020-12-29,60.0,61.7,59.1,60.85,28939460.0
2020-12-30,61.0,68.0,61.0,64.5,81743224.0
2021-01-04,65.5,68.0,63.5,63.75,20497032.0
2021-01-05,62.1,67.05,62.0,65.5,19040486.0
2021-01-06,65.0,70.2,65.0,66.4,27012412.0
2021-01-07,66.4,69.2,65.5,68.95,15786474.0
2021-01-08,69.0,69.95,67.55,67.9,10643647.0
2021-01-11,67.6,70.25,65.05,68.1,23081662.0
2021-01-12,69.0,81.7,69.0,79.65,130369648.0
2021-01-13,81.8,85.0,71.0,79.55,31180170.0
2021-01-14,79.3,82.85,78.5,82.6,28803264.0
2021-01-15,83.5,86.9,80.1,86.6,32947294.0
2021-01-18,86.6,89.8,84.4,89.75,19939170.0
2021-01-19,90.0,96.25,90.0,93.85,61729272.0
2021-01-20,93.85,96.4,86.4,88.0,72418432.0
2021-01-21,87.5,87.5,79.8,80.1,35886200.0
2021-01-22,81.9,81.9,76.35,79.7,13385342.0
2021-01-25,80.0,81.25,75.0,75.95,13915267.0
2021-01-26,75.2,82.0,75.2,81.0,12340818.0
2021-01-27,82.1,83.0,76.9,77.55,18697796.0
2021-01-28,77.65,80.95,74.25,74.45,16177301.0
2021-01-29,74.45,75.5,72.65,73.45,11619849.0
2021-02-01,73.55,79.9,73.55,78.7,14908373.0
2021-02-02,79.9,80.0,78.3,78.5,10000877.0
2021-02-03,79.0,83.85,79.0,81.7,27113298.0
2021-02-04,82.35,83.5,80.0,82.0,14921359.0
2021-02-05,82.0,83.5,79.0,81.5,12456609.0
2021-02-08,80.75,85.85,79.0,84.8,17132690.0
2021-02-09,85.0,86.0,81.1,82.5,16960018.0
2021-02-10,82.5,85.8,82.0,83.8,17993108.0
2021-02-11,83.45,85.0,78.7,80.65,27877016.0
2021-02-12,80.75,81.5,77.6,80.3,13539588.0
2021-02-17,80.5,84.75,80.25,84.0,54209204.0
2021-02-18,83.8,84.65,76.0,76.25,34023580.0
2021-02-19,77.2,79.0,75.5,76.35,27823542.0
2021-02-22,77.0,77.2,73.0,73.05,16659759.0
2021-02-23,73.2,75.0,69.5,73.0,11028127.0
2021-02-24,73.5,77.95,72.8,77.3,28263218.0
2021-02-25,78.0,79.0,75.3,77.1,27285826.0
2021-02-26,78.0,78.5,71.55,76.0,20665902.0
2021-03-01,76.0,76.6,72.2,72.8,18479440.0
2021-03-02,72.75,74.0,71.2,72.0,46859220.0
2021-03-03,73.4,73.4,69.5,71.0,58484424.0
2021-03-04,70.1,71.8,66.5,69.0,55997036.0
2021-03-05,69.0,70.6,66.5,67.9,12092329.0
2021-03-08,68.75,71.5,67.3,70.25,25785112.0
2021-03-09,70.0,71.8,68.35,71.45,21091666.0
2021-03-10,73.0,73.0,69.3,70.75,20456624.0
2021-03-11,71.7,73.5,69.35,72.95,23631314.0
2021-03-12,73.0,73.5,70.1,72.75,23363654.0
2021-03-15,73.0,77.75,71.9,75.55,28682422.0
2021-03-16,75.7,77.5,73.3,74.55,25030342.0
2021-03-17,73.9,74.5,73.1,73.55,12038990.0
2021-03-18,73.55,73.55,70.5,70.6,6382208.0
2021-03-19,70.6,73.0,69.5,72.5,8646199.0
2021-03-22,71.1,73.0,70.5,72.7,17600786.0
2021-03-23,73.0,74.85,70.3,71.15,3747784.25
2021-03-25,70.4,72.0,66.5,69.0,10864028.0
2021-03-26,69.0,72.8,68.55,69.1,11434240.0
2021-03-29,72.55,75.95,72.55,74.0,74911952.0
2021-03-30,76.5,77.0,75.5,76.0,29457796.0
2021-03-31,75.5,77.6,74.0,77.2,36706008.0
