Date,Open,High,Low,Close,Volume
2020-09-04,21.8,21.9,21.3,21.55,2322407.75
2020-09-07,21.55,22.35,21.3,22.15,2949502.75
2020-09-08,21.9,22.55,21.35,21.5,3845763.0
2020-09-09,22.35,22.35,21.5,21.8,3340094.5
2020-09-10,22.2,22.7,21.9,22.3,5688839.0
2020-09-11,22.4,22.7,21.85,21.9,2399848.25
2020-09-14,21.5,22.3,21.2,21.25,3850889.25
2020-09-15,21.25,21.9,21.0,21.2,2964362.75
2020-09-16,20.5,21.0,19.0,19.85,9181752.0
2020-09-17,19.0,19.95,18.3,18.65,5990332.5
2020-09-18,18.65,21.2,18.65,21.0,10271899.0
2020-09-21,21.0,21.9,20.05,20.6,3209474.5
2020-09-22,21.0,21.7,20.8,21.45,4972701.5
2020-09-23,21.2,22.65,21.0,22.0,5121362.0
2020-09-24,22.3,22.3,21.1,22.45,7006255.5
2020-09-25,21.9,22.6,21.9,22.5,1800626.12
2020-09-28,22.0,22.6,21.8,22.25,1795346.25
2020-09-29,22.2,22.7,21.4,21.8,7828725.0
2020-09-30,22.0,23.3,21.55,22.75,7442578.0
2020-10-01,22.85,23.35,21.75,23.3,3682823.25
2020-10-02,23.35,23.5,22.5,23.35,3630181.5
2020-10-05,23.0,23.35,22.5,23.1,4815477.0
2020-10-06,23.05,23.6,21.75,21.95,15875054.0
2020-10-07,22.05,22.3,21.3,21.5,8453516.0
2020-10-08,21.0,22.1,21.0,21.85,4079598.75
2020-10-09,22.25,22.5,21.7,22.3,8196917.0
2020-10-13,22.15,23.0,21.2,22.75,9211184.0
2020-10-14,22.8,24.05,22.3,23.85,17962252.0
2020-10-15,23.6,25.2,23.6,24.75,14936398.0
2020-10-16,25.0,26.5,24.8,26.4,16936284.0
2020-10-19,26.5,29.5,26.4,29.05,49348892.0
2020-10-20,29.25,29.95,27.8,29.5,27103776.0
2020-10-21,29.65,29.9,28.1,28.95,26680066.0
2020-10-22,29.0,30.05,28.35,29.25,14738686.0
2020-10-23,29.5,30.65,28.55,30.55,12556881.0
2020-10-26,30.1,32.0,29.0,29.45,10721828.0
2020-10-27,29.2,29.5,25.2,27.65,9766500.0
2020-10-28,26.0,27.3,25.1,25.7,9493635.0
2020-10-29,25.7,27.0,25.15,26.75,6586610.5
2020-10-30,26.1,27.8,25.2,26.45,8026424.5
2020-11-02,26.45,27.1,26.45,27.0,13804974.0
