Date,Open,High,Low,Close,Volume
2020-09-04,125.45,128.0,122.25,126.1,196863296
2020-09-07,126.1,130.1,126.1,129.95,102749368
2020-09-08,126.95,129.9,123.9,128.1,266563456
2020-09-09,129.5,131.75,127.8,131.45,247430496
2020-09-10,132.5,135.25,132.0,133.2,494952704
2020-09-11,132.45,132.45,126.7,127.6,400701952
2020-09-14,126.6,126.6,119.0,121.1,480429760
2020-09-15,117.95,122.45,115.8,118.55,397206240
2020-09-16,112.95,114.75,107.35,107.85,574073024
2020-09-17,106.15,106.15,100.5,102.05,593714816
2020-09-18,102.0,108.0,101.0,107.45,337491200
2020-09-21,103.3,106.35,102.5,105.7,189558480
2020-09-22,106.0,107.75,102.65,104.45,274643680
2020-09-23,104.35,104.95,102.75,103.2,255538112
2020-09-24,104.05,111.0,103.8,110.65,602168832
2020-09-25,107.95,110.35,105.75,107.5,295970432
2020-09-28,108.5,109.6,104.5,106.0,274215584
2020-09-29,105.85,108.25,104.05,107.2,306481152
2020-09-30,109.0,110.15,105.5,105.9,314309440
2020-10-01,106.3,109.7,106.0,108.95,202749392
2020-10-02,108.0,109.75,107.5,109.45,169922720
2020-10-05,108.85,109.9,107.1,107.8,180609552
2020-10-06,109.3,110.65,103.0,105.2,210702272
2020-10-07,106.0,107.75,103.35,106.5,208643760
2020-10-08,107.55,110.25,107.05,109.95,239238144
2020-10-09,109.95,110.5,107.6,107.8,199691376
2020-10-13,107.1,108.35,106.5,107.8,257460352
2020-10-14,108.2,109.0,106.8,107.75,182690096
2020-10-15,107.7,110.0,107.1,109.7,332566944
2020-10-16,109.7,115.7,109.0,114.3,535473792
2020-10-19,115.0,119.95,114.7,115.35,397608800
2020-10-20,117.6,119.5,110.7,113.75,330284032
2020-10-21,113.6,117.25,111.65,115.0,307272736
2020-10-22,115.65,120.8,115.0,119.9,357973920
2020-10-23,120.0,120.95,116.9,118.8,206408704
2020-10-26,118.3,118.8,111.0,112.2,186732832
2020-10-27,112.0,114.45,106.0,106.05,190785840
2020-10-28,102.0,105.1,97.6,97.95,358334784
2020-10-29,100.0,102.0,95.0,100.55,223917456
2020-10-30,102.0,102.0,95.8,96.4,180605280
2020-11-02,98.0,110.0,98.0,107.85,257504848
2020-11-03,109.75,113.6,107.55,108.85,315022592
2020-11-04,111.05,112.7,106.0,107.35,243849280
2020-11-05,108.0,116.3,108.0,115.0,335027360
2020-11-06,115.5,117.45,111.5,115.25,183195984
2020-11-09,121.0,125.95,121.0,122.3,460400128
2020-11-10,124.0,132.3,122.3,128.75,729048704
2020-11-11,129.95,130.95,123.0,125.7,351006112
2020-11-12,124.9,125.0,118.6,119.1,390333120
2020-11-13,118.95,123.5,118.05,120.55,161592640
2020-11-16,123.0,125.5,122.1,123.85,225989888
2020-11-17,123.8,128.0,120.35,127.1,290674816
2020-11-18,127.0,129.0,123.0,124.0,161122752
2020-11-19,123.0,128.9,122.05,124.95,186660784
2020-11-20,125.0,127.0,122.6,124.15,134544688
2020-11-24,127.0,133.85,126.85,131.8,623039744
2020-11-25,132.65,134.0,129.15,131.15,187650096
2020-11-26,131.25,132.5,130.6,131.45,85830032
2020-11-27,130.05,137.0,130.05,136.1,345704448
2020-11-30,136.1,136.1,130.05,130.6,253241856
2020-12-01,133.0,135.0,132.05,132.15,174990336
2020-12-02,132.3,136.0,130.1,132.95,216826288
2020-12-03,133.0,135.1,131.0,133.0,164829952
2020-12-04,132.55,133.75,130.0,130.2,188968208
2020-12-09,128.2,129.95,124.0,124.75,226835584
2020-12-10,124.0,130.2,123.5,129.75,544066176
2020-12-11,129.55,131.55,128.1,128.7,242398768
2020-12-14,130.0,131.2,125.2,127.05,161998096
2020-12-15,127.05,128.9,125.55,128.25,156511824
2020-12-16,128.95,129.9,126.35,127.25,205679664
2020-12-17,127.35,129.2,126.0,126.55,229010560
2020-12-18,127.0,127.5,121.55,121.9,309400256
2020-12-21,119.0,120.8,116.75,119.5,257064384
2020-12-22,120.0,124.2,119.7,120.65,204246912
2020-12-23,120.5,125.95,120.5,125.6,215948336
2020-12-28,124.95,126.85,124.05,125.3,153432256
2020-12-29,125.2,129.5,125.1,128.4,172993296
2020-12-30,130.0,131.6,125.25,125.75,191263920
2021-01-04,126.95,126.95,120.0,123.25,222153392
2021-01-05,122.75,124.75,120.5,123.65,134489952
2021-01-06,122.8,125.9,122.4,123.05,122369144
2021-01-07,123.1,125.25,121.55,123.9,115666112
2021-01-08,123.8,124.5,122.0,122.65,89943984
2021-01-11,121.0,122.25,118.0,120.25,132193416
2021-01-12,120.0,122.4,118.55,121.45,109574480
2021-01-13,120.0,123.3,120.0,121.2,130828008
2021-01-14,121.2,122.7,119.75,121.2,182346512
2021-01-15,120.0,122.45,119.6,120.05,82781952
2021-01-18,120.5,121.0,118.5,118.6,43666492
2021-01-19,118.6,120.5,115.9,116.95,114604288
2021-01-20,118.5,119.0,114.95,118.0,171696992
2021-01-21,118.1,119.25,114.2,114.8,220988832
2021-01-22,114.0,115.8,113.0,113.1,167682352
2021-01-25,114.0,114.8,111.0,112.3,107633648
2021-01-26,112.4,118.9,112.4,117.8,135421888
2021-01-27,117.45,119.9,115.0,118.8,125194136
2021-01-28,117.6,120.7,117.6,119.5,96377616
2021-01-29,120.45,120.45,115.05,115.7,181379408
2021-02-01,116.1,119.3,116.1,119.3,103377400
2021-02-02,120.0,122.0,118.5,119.2,156615616
2021-02-03,119.05,121.4,118.2,118.35,125589016
2021-02-04,118.05,124.0,118.05,123.5,210563440
2021-02-05,125.0,126.75,124.3,126.25,289662624
2021-02-08,130.0,131.1,126.15,126.65,444824992
2021-02-09,128.25,128.9,126.65,126.8,168729424
2021-02-10,128.1,128.3,125.5,126.0,90334152
2021-02-11,126.0,127.4,124.0,125.5,82262712
2021-02-12,125.8,127.2,122.5,123.85,173277968
2021-02-17,128.2,128.2,124.0,126.2,195885104
2021-02-18,128.5,133.0,126.0,128.6,616160960
2021-02-19,128.05,130.5,125.05,126.7,239016688
2021-02-22,125.85,125.85,114.9,120.5,203419328
2021-02-23,118.5,118.5,113.0,114.1,296416608
2021-02-24,115.05,120.4,114.5,118.05,172730512
2021-02-25,118.3,121.0,114.5,115.25,169904416
2021-02-26,115.45,116.2,111.6,112.3,318337760
2021-03-01,114.2,116.95,114.0,115.35,113498632
2021-03-02,115.0,115.45,113.05,114.5,112391832
2021-03-03,116.0,116.45,111.1,112.35,109830616
2021-03-04,112.4,115.95,110.5,113.45,185551584
2021-03-05,115.45,115.45,108.75,109.9,229161040
2021-03-08,110.0,112.0,108.0,109.6,148892992
2021-03-09,108.15,111.5,108.15,111.05,127221568
2021-03-10,111.1,115.85,110.0,114.95,223378816
2021-03-11,116.0,117.0,114.0,116.45,179912528
2021-03-12,116.0,119.95,115.0,119.3,276277600
2021-03-15,120.2,124.5,119.85,123.2,320199744
2021-03-16,124.0,125.0,120.0,120.2,179531312
2021-03-17,119.4,121.2,118.7,120.45,161286864
2021-03-18,120.9,121.65,117.65,117.85,236082144
2021-03-19,117.85,120.85,117.7,118.7,105305672
2021-03-22,117.0,117.6,116.05,117.25,143002960
2021-03-23,116.9,119.25,116.35,116.55,96822560
2021-03-25,112.85,114.5,111.2,111.65,265576928
2021-03-26,113.5,113.6,109.6,110.15,119982856
2021-03-29,109.85,110.75,108.0,109.2,125184264
2021-03-30,109.2,112.9,109.2,112.75,86459288
2021-03-31,112.0,113.9,110.9,111.4,129768840
2021-04-05,111.95,112.95,110.15,112.85,107368544
2021-04-06,115.75,117.75,115.75,116.35,307398976
2021-04-07,117.0,119.0,116.6,116.65,299085632
2021-04-08,116.65,116.75,115.0,115.8,83301872
2021-04-09,115.85,115.85,113.05,113.5,145232336
2021-04-12,112.5,113.0,109.8,110.2,279480800
2021-04-13,109.5,111.3,109.3,110.3,64799500
2021-04-14,111.0,113.4,109.85,110.2,106999208
2021-04-15,110.0,110.8,109.0,109.7,224001744
2021-04-16,109.45,111.7,108.5,111.0,154219712
2021-04-19,113.95,114.0,111.8,112.55,88200008
2021-04-20,110.6,111.6,108.95,109.35,124250688
2021-04-21,109.9,111.05,107.5,110.65,103665032
2021-04-22,110.65,111.75,108.9,109.0,93938688
2021-04-23,109.75,110.45,108.2,109.5,125818432
2021-04-26,110.8,114.45,110.2,114.25,231432608
2021-04-27,115.05,119.75,115.0,119.45,402688032
2021-04-28,123.65,123.85,119.65,121.45,299423616
2021-04-29,120.7,120.7,118.45,119.2,127877240
2021-04-30,118.5,118.5,116.45,116.75,67586024
2021-05-03,115.8,117.65,115.05,115.55,172504848
2021-05-04,114.85,114.85,113.0,114.3,121541208
2021-05-05,114.6,117.25,113.1,115.85,76058528
2021-05-06,114.8,117.95,113.5,117.45,111184440
2021-05-07,120.0,124.1,119.5,123.7,395707936
2021-05-10,126.0,126.8,123.3,124.55,323603136
2021-05-11,122.0,124.15,121.4,122.75,129088144
2021-05-12,122.9,123.05,119.65,120.15,80123640
2021-05-13,121.0,125.8,121.0,125.4,162064272
2021-05-14,130.0,131.5,129.05,130.9,688982784
2021-05-17,129.5,136.95,127.5,136.25,408732736
2021-05-18,135.4,137.2,134.05,135.0,449095072
2021-05-19,134.0,136.5,132.2,134.95,186799616
2021-05-20,136.3,140.2,136.3,139.35,241104240
2021-05-21,140.0,141.0,134.5,135.15,221372880
2021-05-26,134.0,137.45,133.3,136.9,148660128
2021-05-27,137.5,140.45,136.55,139.3,218903504
2021-05-28,144.8,146.0,143.0,145.4,416377536
2021-05-31,145.0,147.9,143.8,145.15,104062736
2021-06-01,148.3,151.5,148.0,150.5,540683584
2021-06-02,152.3,153.7,149.75,150.9,466855136
2021-06-03,150.0,157.7,149.0,157.0,436932960
2021-06-04,156.0,165.0,155.05,164.85,402328480
2021-06-07,169.95,172.75,168.15,169.1,657997312
2021-06-08,169.0,171.25,160.1,161.6,419395936
2021-06-09,161.0,171.75,160.0,168.95,311990368
2021-06-10,172.7,174.95,169.0,170.6,441258176
2021-06-11,167.95,167.95,162.1,162.8,202482672
2021-06-14,166.0,168.0,163.9,164.65,248987504
2021-06-15,164.7,166.75,159.9,165.0,337117088
2021-06-16,165.4,169.4,165.4,168.8,308782560
2021-06-17,169.1,170.5,165.0,165.85,381678976
2021-06-18,160.5,163.85,160.2,161.65,457165024
2021-06-22,156.8,167.9,154.0,165.15,398784448
2021-06-23,166.75,168.8,162.9,163.05,354763648
2021-06-24,163.25,163.9,161.2,162.5,215212320
2021-06-25,154.4,157.4,154.0,155.5,379145440
2021-06-28,155.65,156.65,153.05,153.95,362489408
2021-06-29,153.0,153.0,148.15,148.55,366750784
2021-06-30,148.3,150.0,145.25,146.6,283616448
2021-07-01,147.65,148.4,143.7,145.0,185394000
2021-07-02,145.5,148.45,142.7,146.7,229234832
2021-07-05,149.5,151.5,148.15,150.5,108234904
2021-07-06,149.0,149.0,144.05,144.9,194974352
2021-07-07,145.0,146.45,143.2,145.8,167340000
2021-07-08,144.3,144.5,142.05,142.35,179080800
2021-07-12,142.95,148.5,142.0,148.15,259360976
2021-07-13,145.45,148.2,144.7,147.9,267487232
2021-07-14,149.5,150.0,146.1,147.85,258471136
2021-07-15,147.7,148.75,144.55,144.85,170386512
2021-07-16,144.85,144.95,142.0,142.85,96128192
2021-07-19,141.0,141.6,138.75,140.4,228774544
2021-07-20,139.0,144.0,138.35,142.7,184039712
2021-07-21,146.1,150.2,146.1,148.95,211007616
2021-07-22,148.0,148.0,145.4,147.5,163525584
2021-07-23,146.95,147.0,144.0,144.7,148108400
2021-07-26,147.05,148.5,146.0,148.15,130920024
2021-07-27,146.75,147.8,146.25,147.2,121009008
2021-07-28,148.5,149.5,147.55,149.05,173751344
2021-07-29,148.9,150.0,146.4,147.6,228984176
2021-07-30,146.85,147.0,142.5,142.55,625370240
2021-08-02,142.6,144.9,142.1,142.35,154902304
2021-08-03,142.65,146.0,140.3,145.6,195842752
2021-08-04,146.95,146.95,143.1,143.55,132229752
2021-08-05,147.4,147.4,144.3,145.75,150115792
2021-08-06,145.55,147.15,145.05,145.4,112278264
2021-08-09,144.95,145.25,143.95,144.5,58423524
2021-08-10,144.05,151.6,144.05,151.45,325676544
2021-08-11,149.9,156.15,148.35,155.6,443282016
2021-08-12,154.75,156.85,153.0,153.35,186827792
2021-08-13,150.0,151.5,148.0,150.6,190776080
2021-08-17,147.5,151.5,146.7,148.3,149264320
2021-08-18,147.0,149.6,146.4,146.5,274753760
2021-08-19,146.5,149.7,145.9,149.25,221164272
2021-08-20,151.5,154.0,151.2,153.55,250942928
2021-08-23,155.05,159.6,155.05,158.95,243867248
2021-08-24,162.15,170.4,162.15,170.0,698365248
2021-08-25,171.7,177.4,168.0,176.65,731380224
2021-08-26,172.05,180.35,172.05,177.85,848123136
2021-08-27,184.05,186.9,180.1,180.45,690773184
2021-08-30,182.0,194.0,182.0,191.55,639139840
2021-08-31,188.95,193.0,185.9,188.8,527356704
2021-09-01,190.3,195.0,185.1,185.7,473699200
2021-09-02,186.05,191.95,183.2,183.4,340451104
2021-09-03,182.9,184.95,181.6,182.8,170062336
2021-09-06,180.05,187.0,176.25,186.4,129617328
2021-09-07,189.1,200.5,189.1,198.7,701262848
2021-09-08,198.0,198.0,189.0,197.35,652449408
2021-09-09,202.05,204.1,192.05,194.4,573713856
2021-09-10,195.0,197.5,189.55,191.2,420700768
2021-09-13,217.9,220.0,203.05,206.0,1479885440
2021-09-14,207.25,211.45,199.0,200.7,629459264
2021-09-15,201.1,203.0,190.0,196.75,424116288
2021-09-16,191.9,203.0,190.5,199.15,451682080
2021-09-17,197.8,205.25,197.2,198.05,355441376
2021-09-20,189.0,189.0,180.1,180.7,715635712
2021-09-21,183.0,184.5,178.5,178.95,301020608
2021-09-22,183.3,185.9,181.6,184.7,385026080
2021-09-23,186.0,186.7,183.5,183.7,208010160
2021-09-24,183.0,184.5,180.25,181.25,150228912
2021-09-27,182.5,189.0,182.5,188.3,147446576
2021-09-28,189.0,189.45,184.1,188.1,112119392
2021-09-29,188.1,193.25,188.1,191.0,158218128
2021-09-30,193.0,197.3,193.0,193.85,320456000
2021-10-01,191.05,198.3,191.05,197.7,211112544
2021-10-04,199.0,199.5,194.25,196.65,143886624
2021-10-05,198.8,199.2,195.05,195.7,181904272
2021-10-06,195.0,196.95,190.05,196.75,111249584
2021-10-07,199.95,199.95,195.0,196.4,128386024
2021-10-12,199.55,201.0,196.5,197.05,174982512
2021-10-13,196.75,198.0,195.0,196.85,193543408
2021-10-14,197.1,199.7,196.2,199.1,389046144
2021-10-15,201.7,210.5,200.55,209.2,635779712
2021-10-18,208.8,213.9,205.0,211.7,453417536
