Date,Open,High,Low,Close,Volume
2020-09-04,42.4,43.5,40.5,43.35,2455629.5
2020-09-07,43.5,44.0,43.25,43.25,934242.88
2020-09-08,43.3,43.3,40.65,41.8,1872801.25
2020-09-09,41.05,43.4,40.7,41.75,1525016.5
2020-09-10,41.5,42.8,41.05,41.9,2140415.25
2020-09-11,42.0,42.0,40.0,40.85,1114704.62
2020-09-14,40.85,41.7,40.25,40.35,1289365.0
2020-09-15,41.0,41.0,38.75,40.0,2906300.25
2020-09-16,38.6,40.2,37.5,38.15,2768373.25
2020-09-17,38.0,40.0,37.0,37.7,1763170.5
2020-09-18,37.5,39.05,37.5,38.95,1835724.75
2020-09-21,38.95,40.25,38.0,39.75,3157709.75
2020-09-22,39.0,40.2,38.0,40.2,2182171.0
2020-09-23,39.25,41.3,39.15,39.2,3034263.5
2020-09-24,39.8,40.15,38.05,40.45,3712309.0
2020-09-25,41.0,43.75,40.0,43.6,4041150.25
2020-09-28,43.5,43.8,40.65,41.2,3961629.5
2020-09-29,41.8,41.8,40.05,40.45,1219657.12
2020-09-30,41.55,41.75,40.4,40.35,1640941.5
2020-10-01,40.5,42.65,40.5,42.6,1930832.5
2020-10-02,42.0,43.3,40.5,42.75,1655900.25
2020-10-05,44.25,44.5,43.0,44.0,2259777.25
2020-10-06,43.8,44.95,43.8,44.1,2242189.0
2020-10-07,44.3,44.9,44.15,44.8,1216474.25
2020-10-08,44.0,46.3,44.0,45.6,942682.56
2020-10-09,45.65,46.95,45.5,46.85,2535302.75
2020-10-13,47.1,47.6,45.6,47.0,1475912.75
2020-10-14,47.0,48.95,43.05,48.8,5516548.0
2020-10-15,48.75,52.05,48.05,51.0,7947465.5
2020-10-16,51.0,53.0,48.85,51.05,3921777.25
2020-10-19,52.0,54.6,50.5,53.0,4936103.0
2020-10-20,52.5,57.0,51.55,56.8,15036089.0
2020-10-21,57.0,57.95,53.65,55.2,3409582.75
2020-10-22,55.2,57.0,52.75,53.7,3611429.5
2020-10-23,55.0,55.8,50.6,55.45,3203313.75
2020-10-26,55.0,55.0,50.8,51.0,2022376.75
2020-10-27,52.0,53.0,48.1,48.65,2112764.75
2020-10-28,46.8,48.5,45.1,46.65,2397302.0
2020-10-29,46.0,52.75,45.95,52.3,4815738.0
2020-10-30,52.95,56.45,48.8,55.75,5153612.5
2020-11-02,55.8,65.2,55.6,64.75,7560195.0
2020-11-03,62.1,64.75,59.0,59.0,4603235.0
2020-11-04,59.4,60.8,55.5,56.0,1590980.62
2020-11-05,56.5,58.4,55.5,57.6,2154283.25
2020-11-06,57.9,59.95,57.9,58.7,1090544.62
2020-11-09,55.05,62.2,55.05,58.85,2988892.75
2020-11-10,58.9,63.9,58.9,61.75,5121955.0
2020-11-11,61.55,62.7,61.1,61.2,5199001.5
2020-11-12,61.2,62.65,56.6,59.3,3222161.25
2020-11-13,60.0,61.95,59.5,61.3,2228068.0
2020-11-16,61.0,64.5,58.0,63.15,2184114.5
2020-11-17,63.15,67.0,63.0,66.15,4549794.0
2020-11-18,65.0,77.0,63.5,70.05,18365564.0
2020-11-19,72.1,74.0,70.2,72.5,10109615.0
2020-11-20,70.0,73.7,70.0,70.4,7266172.0
2020-11-24,71.0,72.0,66.95,69.4,4647372.0
2020-11-25,69.4,72.8,66.9,67.8,1361587.75
2020-11-26,69.0,71.0,63.7,66.5,743129.69
2020-11-27,66.5,68.3,65.0,65.6,7628442.0
