Date,Open,High,Low,Close,Volume
2020-09-04,122.5,124.0,119.1,122.5,19482988.0
2020-09-07,123.9,127.1,122.8,126.35,10098723.0
2020-09-08,125.9,125.9,121.3,125.8,35803748.0
2020-09-09,126.8,126.8,122.0,125.0,26087214.0
2020-09-10,126.75,127.9,125.05,126.4,27321254.0
2020-09-11,126.6,134.15,124.5,131.8,52828648.0
2020-09-14,134.0,135.0,127.0,128.2,33579556.0
2020-09-15,129.65,133.0,127.4,131.4,60134484.0
2020-09-16,129.0,129.0,120.0,121.25,44611480.0
2020-09-17,121.0,121.0,108.6,109.65,42329512.0
2020-09-18,109.1,115.0,108.8,114.15,30205808.0
2020-09-21,112.0,117.6,107.7,117.0,18354938.0
2020-09-22,117.0,120.0,114.0,119.0,77349584.0
2020-09-23,118.4,118.4,113.1,114.0,32469416.0
2020-09-24,112.55,120.0,112.55,118.9,52814992.0
2020-09-25,119.5,123.9,116.5,122.45,24153440.0
2020-09-28,124.5,125.4,122.5,123.1,89701584.0
2020-09-29,122.9,125.0,119.95,123.55,32948034.0
2020-09-30,124.0,130.3,122.5,129.55,78359904.0
2020-10-01,130.0,133.0,127.0,131.2,38281356.0
2020-10-02,130.85,136.0,128.8,135.8,30156284.0
2020-10-05,136.0,143.5,132.5,142.15,47551228.0
2020-10-06,143.5,147.5,140.5,144.6,103324456.0
2020-10-07,144.7,146.1,140.25,144.0,54082832.0
2020-10-08,146.0,148.0,145.0,147.15,51867636.0
2020-10-09,144.2,144.2,134.05,140.85,45710056.0
2020-10-13,141.95,141.95,136.0,138.9,21039318.0
2020-10-14,140.5,144.0,139.0,143.8,40259036.0
2020-10-15,143.0,150.0,132.0,148.55,51436120.0
2020-10-16,149.9,154.5,149.0,152.95,49538800.0
2020-10-19,153.7,161.0,153.5,156.95,51899860.0
2020-10-20,157.0,159.95,150.0,152.8,45067664.0
2020-10-21,152.8,157.0,152.0,155.95,80279952.0
2020-10-22,156.0,158.0,153.0,157.8,25451798.0
2020-10-23,158.0,162.8,151.65,160.9,69228904.0
2020-10-26,159.6,160.0,147.1,147.55,47116816.0
2020-10-27,147.65,150.6,138.0,139.2,23807608.0
2020-10-28,137.0,137.0,128.85,133.2,37525500.0
2020-10-29,133.5,136.7,130.0,134.9,19349766.0
2020-10-30,138.0,138.0,131.75,134.05,31293444.0
2020-11-02,138.0,140.0,134.3,137.25,47384120.0
2020-11-03,138.0,147.0,138.0,143.65,62077404.0
2020-11-04,146.9,148.75,141.5,142.05,79245688.0
2020-11-05,145.0,147.5,139.5,142.9,58902952.0
2020-11-06,147.95,147.95,138.5,139.05,13574661.0
2020-11-09,144.9,144.9,135.0,135.45,104924208.0
2020-11-10,137.0,140.5,133.1,139.7,66604088.0
2020-11-11,140.1,151.0,139.2,149.0,131158080.0
2020-11-12,149.2,153.5,146.6,147.4,69691752.0
2020-11-13,147.4,152.0,142.55,145.6,46513116.0
2020-11-16,146.0,151.0,146.0,150.3,29067984.0
2020-11-17,149.0,156.9,144.0,156.6,51286028.0
2020-11-18,156.5,159.5,152.15,154.75,31485042.0
2020-11-19,157.25,157.25,151.1,152.25,20753960.0
2020-11-20,152.0,156.0,151.1,155.25,18439380.0
2020-11-24,155.25,167.0,155.2,164.7,70122328.0
2020-11-25,167.25,174.5,165.2,167.3,60339060.0
2020-11-26,169.0,171.0,166.0,168.75,14606763.0
2020-11-27,168.4,179.25,167.5,172.0,57692320.0
2020-11-30,172.0,177.0,167.0,171.45,28694486.0
2020-12-01,172.0,172.0,164.0,170.0,19790126.0
2020-12-02,169.0,179.35,168.5,169.0,19519428.0
2020-12-03,170.0,172.95,169.0,171.8,22780228.0
2020-12-04,174.9,174.9,169.5,170.35,25214340.0
2020-12-09,165.55,170.25,161.85,162.3,36054228.0
2020-12-10,163.5,168.95,163.5,167.7,23045844.0
2020-12-11,167.7,169.25,165.0,167.9,23420894.0
2020-12-14,166.0,171.9,163.0,167.45,26630254.0
2020-12-15,167.0,173.6,167.0,169.6,21503516.0
2020-12-16,172.0,173.95,170.1,171.85,45096656.0
2020-12-17,175.0,178.0,171.75,177.95,27105252.0
2020-12-18,178.0,180.5,177.0,179.9,20009146.0
2020-12-21,178.95,178.95,163.0,173.0,25699946.0
2020-12-22,173.0,176.0,166.2,171.0,70176960.0
2020-12-23,168.0,177.0,167.4,176.55,29426374.0
2020-12-28,173.0,176.55,172.5,173.35,24130036.0
2020-12-29,170.0,179.95,170.0,174.25,15915652.0
2020-12-30,179.0,184.0,175.5,180.75,53415092.0
2021-01-04,181.45,182.0,170.1,173.2,49229372.0
2021-01-05,173.8,177.0,172.0,175.05,69876744.0
2021-01-06,177.5,180.0,170.1,175.35,69727304.0
2021-01-07,176.0,179.0,173.1,173.95,32199770.0
2021-01-08,178.5,178.5,164.5,166.45,34096080.0
2021-01-11,167.0,170.0,163.0,165.8,72412608.0
2021-01-12,165.9,171.0,164.0,170.0,40774816.0
2021-01-13,170.0,175.5,166.05,167.9,33587516.0
2021-01-14,170.0,170.0,163.0,164.0,46782452.0
2021-01-15,163.15,165.0,157.05,160.0,22466342.0
2021-01-18,160.0,161.9,155.15,155.55,10893169.0
2021-01-19,158.0,164.0,158.0,163.4,21672756.0
2021-01-20,165.0,168.05,163.0,165.05,22480410.0
2021-01-21,168.0,168.0,155.0,157.35,22535826.0
2021-01-22,159.9,164.3,152.5,155.8,12872026.0
2021-01-25,157.0,160.0,151.0,151.1,21968532.0
2021-01-26,151.1,160.0,150.0,159.25,33926132.0
2021-01-27,160.0,160.0,152.0,154.45,37986380.0
2021-01-28,157.5,162.25,155.0,161.7,17425232.0
2021-01-29,164.5,166.75,155.5,157.25,25088926.0
2021-02-01,159.0,161.0,157.5,159.4,13453388.0
2021-02-02,165.0,165.0,160.1,165.0,21250484.0
2021-02-03,166.0,168.0,164.5,166.5,30139336.0
2021-02-04,166.45,170.0,164.7,167.6,19903386.0
2021-02-05,169.1,170.0,165.0,167.8,17310092.0
2021-02-08,166.2,171.8,166.2,170.75,26835698.0
2021-02-09,170.75,175.7,170.5,175.7,28350402.0
2021-02-10,175.35,179.0,175.0,178.3,34989296.0
2021-02-11,178.0,186.0,175.55,185.0,58564044.0
2021-02-12,181.5,186.0,176.85,179.0,20579010.0
2021-02-17,179.1,187.0,174.75,181.0,49224248.0
2021-02-18,181.0,183.0,173.2,177.25,46892936.0
2021-02-19,179.5,180.0,175.5,176.0,35667336.0
2021-02-22,178.0,180.0,170.6,172.0,17913494.0
2021-02-23,169.0,174.5,165.0,175.0,13500971.0
2021-02-24,178.9,180.0,172.0,176.75,24120882.0
2021-02-25,178.0,182.0,168.9,171.5,22554826.0
2021-02-26,175.0,175.0,165.0,168.3,21163984.0
2021-03-01,170.5,172.8,168.0,172.0,13207610.0
2021-03-02,174.7,174.7,167.0,170.5,25476172.0
2021-03-03,171.0,172.75,164.5,169.9,26484610.0
2021-03-04,169.9,173.95,165.1,169.75,52630352.0
2021-03-05,170.0,171.5,162.0,162.65,34042136.0
2021-03-08,163.0,166.6,156.2,163.55,23915570.0
2021-03-09,162.9,167.5,162.0,165.6,23199392.0
2021-03-10,166.0,169.0,164.6,168.45,67171608.0
2021-03-11,169.3,177.95,162.75,177.5,63089836.0
2021-03-12,178.0,181.0,174.0,179.5,25715662.0
2021-03-15,179.5,183.9,178.7,182.65,33778976.0
2021-03-16,182.5,183.0,178.5,180.0,29921798.0
2021-03-17,179.0,181.5,177.25,179.7,30186470.0
2021-03-18,179.7,179.7,177.0,177.75,31644656.0
2021-03-19,177.0,180.85,173.0,179.45,32995808.0
2021-03-22,179.0,181.25,176.0,180.3,25397122.0
2021-03-23,181.0,182.0,177.35,180.9,10918093.0
2021-03-25,178.5,180.9,172.05,176.3,39109596.0
2021-03-26,178.0,180.9,173.0,177.9,38908832.0
2021-03-29,172.0,182.0,172.0,178.95,22932054.0
2021-03-30,180.0,187.4,179.25,187.0,59529648.0
2021-03-31,187.0,187.7,185.0,186.35,38243988.0
2021-04-05,186.5,190.1,183.75,189.8,20811634.0
2021-04-06,191.0,195.0,191.0,193.85,30524602.0
2021-04-07,193.8,198.5,191.8,198.2,36620108.0
2021-04-08,197.0,198.0,191.0,191.8,64840060.0
2021-04-09,192.9,193.0,187.0,189.35,21067980.0
2021-04-12,189.35,189.35,185.4,188.05,26070096.0
2021-04-13,187.75,187.75,183.5,185.1,25564156.0
2021-04-14,186.0,186.9,181.4,182.55,47307884.0
2021-04-15,183.0,184.0,181.5,184.0,24211826.0
2021-04-16,184.0,186.0,181.2,182.0,27420558.0
2021-04-19,182.0,185.0,180.0,183.75,20924176.0
2021-04-20,183.75,188.0,178.0,178.65,157647152.0
2021-04-21,180.0,185.0,178.0,183.35,22385564.0
2021-04-22,183.4,183.4,179.8,180.25,48383064.0
2021-04-23,180.0,185.45,178.1,183.95,19470214.0
2021-04-26,183.5,186.0,180.0,185.65,23241462.0
2021-04-27,186.2,190.0,186.2,187.45,33856684.0
2021-04-28,187.95,191.0,186.0,186.9,25443562.0
2021-04-29,190.9,190.9,182.0,185.35,34533920.0
2021-04-30,186.0,186.95,183.0,186.0,18899654.0
2021-05-03,185.0,186.0,183.6,185.15,17986934.0
2021-05-04,183.5,187.05,183.5,186.3,42206004.0
2021-05-05,186.4,189.5,186.4,186.7,29783716.0
2021-05-06,186.7,188.25,185.05,186.2,28508194.0
2021-05-07,188.0,190.0,187.0,187.45,42223376.0
2021-05-10,187.4,189.5,187.0,187.8,52176184.0
2021-05-11,187.0,189.0,185.0,187.0,20568118.0
2021-05-12,187.0,189.0,184.0,188.65,16891632.0
2021-05-13,189.0,191.0,185.5,190.7,18208072.0
2021-05-14,192.15,201.8,192.15,199.3,31884516.0
2021-05-17,199.0,210.0,197.5,209.6,62535564.0
2021-05-18,208.5,210.75,207.5,208.0,48647232.0
2021-05-19,205.0,212.95,200.55,211.95,49576684.0
2021-05-20,211.85,217.7,207.15,217.3,52270188.0
2021-05-21,217.4,221.0,210.0,214.15,58880560.0
2021-05-26,208.5,219.25,202.0,216.25,31178558.0
2021-05-27,216.25,220.0,213.0,214.1,55238136.0
2021-05-28,214.2,222.0,213.0,220.0,36760896.0
2021-05-31,222.0,229.9,219.0,225.95,17064546.0
2021-06-01,225.0,233.35,224.85,232.1,54581416.0
2021-06-02,234.0,240.0,233.0,236.85,56867940.0
2021-06-03,230.0,233.5,229.0,232.3,78621760.0
2021-06-04,234.75,237.0,228.25,236.1,79247984.0
