Date,Open,High,Low,Close,Volume
2020-09-04,59.4,59.4,56.65,59.1,22000106.0
2020-09-07,59.0,59.0,58.0,58.6,7714725.5
2020-09-08,57.9,59.45,56.55,59.2,29526328.0
2020-09-09,59.9,61.0,59.0,60.5,34629864.0
2020-09-10,60.3,62.25,59.9,62.0,84208944.0
2020-09-11,61.95,62.0,59.9,60.95,35322136.0
2020-09-14,61.5,61.5,58.5,59.1,33851872.0
2020-09-15,59.0,60.45,57.25,58.85,35997660.0
2020-09-16,58.3,58.4,54.9,56.65,47137036.0
2020-09-17,56.0,56.0,53.0,55.1,129221096.0
2020-09-18,53.1,59.0,53.1,58.8,53989076.0
2020-09-21,58.3,59.9,56.1,59.05,60342484.0
2020-09-22,58.1,60.7,57.8,60.4,51621488.0
2020-09-23,60.3,60.5,57.55,57.65,172990000.0
2020-09-24,58.0,58.6,57.5,58.0,44496724.0
2020-09-25,58.5,60.65,57.1,60.3,18388032.0
2020-09-28,61.0,61.5,58.0,60.4,19610710.0
2020-09-29,59.1,60.95,58.6,60.45,13349012.0
2020-09-30,60.45,61.2,58.8,59.65,79124256.0
2020-10-01,61.2,62.3,59.5,61.7,40526460.0
2020-10-02,61.5,65.0,60.5,64.55,53371192.0
2020-10-05,64.5,66.5,64.0,65.85,58225760.0
2020-10-06,65.1,67.4,62.5,63.15,62703276.0
2020-10-07,63.15,64.55,61.8,63.85,86489000.0
2020-10-08,63.1,65.25,62.45,64.8,41010984.0
2020-10-09,64.8,67.3,64.0,66.65,46872572.0
2020-10-13,67.0,71.25,67.0,71.05,175708864.0
2020-10-14,69.55,75.5,69.55,75.1,91712672.0
2020-10-15,75.1,77.7,73.6,77.35,97635264.0
2020-10-16,77.5,78.95,76.35,78.1,83792976.0
2020-10-19,79.9,81.0,77.0,78.85,63025536.0
2020-10-20,78.55,81.3,77.4,81.2,94435144.0
2020-10-21,81.3,82.3,78.5,79.55,61820620.0
2020-10-22,78.5,84.9,77.0,84.3,82523008.0
