Date,Open,High,Low,Close,Volume
2020-09-04,64.3,64.4,61.05,63.6,12675094.0
2020-09-07,64.65,65.45,62.6,65.05,9754627.0
2020-09-08,63.5,65.7,62.0,64.45,11084470.0
2020-09-09,64.5,66.4,64.0,66.05,19993050.0
2020-09-10,66.6,68.75,66.0,68.4,34647996.0
2020-09-11,68.35,68.4,65.1,65.6,25616902.0
2020-09-14,65.95,66.4,61.95,62.55,18399506.0
2020-09-15,61.5,64.3,57.9,62.45,28053474.0
2020-09-16,59.95,60.0,57.1,58.25,32116932.0
2020-09-17,57.5,57.5,52.8,52.95,34810556.0
2020-09-18,52.9,56.7,52.15,54.25,51464812.0
2020-09-21,52.2,53.9,50.5,53.5,26895868.0
2020-09-22,53.95,54.3,50.3,51.15,23371068.0
2020-09-23,52.5,52.5,49.1,49.3,33005168.0
2020-09-24,50.0,54.0,49.7,52.7,31961010.0
2020-09-25,51.8,53.9,50.5,52.05,18382946.0
2020-09-28,53.0,53.5,50.9,51.0,12537276.0
2020-09-29,50.5,52.45,49.8,52.4,9861809.0
2020-09-30,52.9,53.95,51.1,51.75,22794572.0
2020-10-01,52.3,54.7,51.5,54.15,13613457.0
2020-10-02,53.7,54.9,53.0,53.95,11465757.0
2020-10-05,54.6,54.6,51.0,52.1,22293806.0
2020-10-06,53.25,54.2,49.65,49.9,60168112.0
2020-10-07,50.15,51.45,49.5,50.0,13916671.0
2020-10-08,50.05,51.55,50.05,51.2,16278181.0
2020-10-09,51.75,51.75,50.85,51.35,11414073.0
2020-10-13,51.0,51.2,49.9,50.3,20670424.0
2020-10-14,51.5,51.5,50.4,51.0,29602270.0
2020-10-15,51.4,52.75,50.5,52.6,29290872.0
2020-10-16,52.2,56.0,52.2,54.8,32003504.0
2020-10-19,55.3,58.05,55.3,57.05,47371228.0
2020-10-20,58.65,58.9,55.0,56.35,17772058.0
2020-10-21,56.5,58.8,55.55,57.2,23052188.0
2020-10-22,57.55,59.55,56.0,59.25,35193376.0
2020-10-23,59.8,59.8,56.5,59.3,23266600.0
2020-10-26,59.3,59.6,54.1,54.8,17427394.0
2020-10-27,57.4,57.4,51.5,51.7,13801308.0
2020-10-28,51.0,52.3,48.9,50.0,20862420.0
2020-10-29,50.0,53.6,49.7,53.45,12851781.0
2020-10-30,53.0,55.0,51.5,51.75,33079560.0
2020-11-02,52.0,57.75,52.0,57.3,21902472.0
2020-11-03,57.95,60.55,56.5,57.15,21407440.0
2020-11-04,58.0,58.9,53.0,56.1,20046978.0
2020-11-05,57.0,58.8,56.0,58.1,31839944.0
2020-11-06,58.0,59.5,56.7,57.05,7577730.0
2020-11-09,59.0,60.3,58.75,59.9,53708696.0
2020-11-10,60.0,64.7,58.8,64.5,49727656.0
2020-11-11,65.0,65.2,61.5,61.95,23157014.0
2020-11-12,61.95,61.95,58.1,58.2,16975626.0
2020-11-13,59.5,60.3,58.0,59.9,21746078.0
2020-11-16,61.0,62.5,59.1,60.25,14174799.0
2020-11-17,60.0,61.7,58.9,61.45,27118460.0
2020-11-18,61.1,61.5,58.0,58.5,17782842.0
2020-11-19,58.2,60.0,57.1,57.55,17598410.0
2020-11-20,57.5,60.25,56.95,57.6,16322874.0
2020-11-24,58.95,61.0,58.0,60.15,25374404.0
2020-11-25,61.0,61.2,58.95,60.8,11020899.0
2020-11-26,60.0,61.4,59.5,61.2,6365350.0
2020-11-27,61.9,62.95,60.0,62.7,28297062.0
2020-11-30,62.7,63.0,59.6,60.2,15079196.0
2020-12-01,60.0,61.6,58.6,60.2,21257018.0
2020-12-02,60.3,62.8,58.9,62.6,39397948.0
2020-12-03,63.0,63.2,60.5,60.55,9731145.0
2020-12-04,60.5,61.5,59.5,59.7,20330032.0
2020-12-09,59.7,59.7,56.95,57.85,10914211.0
2020-12-10,56.8,59.9,56.0,58.6,8741240.0
2020-12-11,58.05,61.2,58.05,61.05,9610690.0
2020-12-14,60.95,61.2,59.0,60.0,13753100.0
2020-12-15,59.4,60.95,59.0,60.0,10117600.0
2020-12-16,60.5,61.0,57.0,59.65,19889116.0
2020-12-17,60.6,61.0,59.0,60.2,26284016.0
2020-12-18,60.15,60.95,58.0,58.1,18182378.0
2020-12-21,57.0,57.0,53.5,55.5,16246631.0
2020-12-22,55.0,57.95,54.5,56.5,28575468.0
2020-12-23,57.5,60.25,56.5,60.2,23375946.0
2020-12-28,59.9,60.0,57.55,58.4,19392474.0
2020-12-29,58.7,61.9,57.5,60.5,31516920.0
2020-12-30,60.2,63.45,60.2,62.5,56275976.0
2021-01-04,63.0,63.0,58.1,61.2,21729340.0
2021-01-05,62.0,62.0,59.6,60.7,16279326.0
2021-01-06,60.5,61.45,60.0,60.45,20010424.0
2021-01-07,60.45,61.25,59.05,59.9,14788706.0
2021-01-08,60.95,60.95,59.1,59.55,12611354.0
2021-01-11,60.0,60.0,56.95,57.75,10364228.0
2021-01-12,58.0,59.0,57.0,57.3,14790446.0
2021-01-13,57.3,58.9,57.0,57.9,6110894.0
2021-01-14,58.1,58.75,56.1,57.3,8963253.0
2021-01-15,57.3,58.0,56.55,57.6,12367834.0
2021-01-18,57.6,57.6,56.5,56.85,3025184.0
2021-01-19,56.8,57.95,56.0,56.6,11576255.0
2021-01-20,56.5,57.6,55.1,56.6,14897842.0
2021-01-21,56.8,57.0,54.45,54.95,14684601.0
2021-01-22,54.15,56.0,52.95,55.8,21686596.0
2021-01-25,56.0,56.8,53.75,53.85,10472085.0
2021-01-26,53.9,56.0,53.85,55.0,13089038.0
2021-01-27,55.2,56.5,51.5,56.15,18343780.0
2021-01-28,56.1,57.2,55.0,55.4,7865541.0
2021-01-29,56.2,56.2,53.4,53.65,4421446.0
2021-02-01,53.65,55.5,53.05,55.0,4222464.0
2021-02-02,55.4,56.2,54.0,54.45,12787024.0
2021-02-03,54.9,55.25,54.0,54.85,8012812.5
2021-02-04,54.9,56.2,54.05,55.9,14303696.0
2021-02-05,56.0,57.8,55.9,57.4,16440385.0
2021-02-08,58.45,59.25,57.5,58.0,27818468.0
2021-02-09,59.3,59.6,58.0,59.45,34036064.0
2021-02-10,60.0,60.0,57.55,58.2,23329938.0
2021-02-11,59.1,59.2,58.2,58.95,23451080.0
2021-02-12,59.1,59.65,57.1,58.0,14050722.0
2021-02-17,59.65,65.0,57.5,62.7,57904100.0
2021-02-18,73.1,97.25,67.1,69.0,1035217792.0
2021-02-19,71.95,79.9,66.5,67.1,321424416.0
2021-02-22,64.0,64.0,58.6,59.7,125177272.0
2021-02-23,56.6,57.25,53.0,55.35,149402864.0
2021-02-24,56.1,58.8,55.8,57.8,36550784.0
2021-02-25,59.45,59.45,55.0,56.75,74140152.0
2021-02-26,57.4,57.4,54.1,56.95,25898716.0
2021-03-01,57.0,59.2,56.0,58.3,20520982.0
2021-03-02,58.8,58.8,56.85,57.5,12857592.0
2021-03-03,57.9,57.9,54.7,55.15,11905417.0
2021-03-04,54.8,56.0,51.9,54.85,57595852.0
2021-03-05,55.0,55.5,53.05,54.7,11996320.0
2021-03-08,55.35,55.35,52.0,54.0,18993864.0
2021-03-09,54.75,55.0,53.0,54.15,18297448.0
2021-03-10,54.0,56.5,53.6,56.35,18148690.0
2021-03-11,57.0,57.0,55.05,56.0,7717445.5
2021-03-12,56.0,56.6,54.1,56.0,8592099.0
2021-03-15,57.05,59.2,57.05,58.9,26640272.0
2021-03-16,58.9,60.2,57.5,58.3,38425388.0
2021-03-17,58.0,58.0,56.9,57.45,11326034.0
2021-03-18,58.0,58.05,54.1,54.25,17117016.0
2021-03-19,55.1,56.3,54.65,55.2,8918017.0
2021-03-22,56.0,56.0,53.7,54.85,15056714.0
2021-03-23,54.4,55.4,53.7,54.7,8756157.0
2021-03-25,53.0,53.45,51.1,51.45,20393458.0
2021-03-26,52.1,53.9,51.0,51.05,6494632.0
2021-03-29,50.95,50.95,49.5,49.95,12317965.0
2021-03-30,50.0,51.2,49.5,51.05,7243734.0
2021-03-31,51.1,51.3,49.7,50.05,14192302.0
2021-04-05,50.05,51.95,50.0,51.75,6776880.5
2021-04-06,52.0,53.25,52.0,53.0,6289943.0
2021-04-07,53.3,53.3,52.0,52.35,9859547.0
2021-04-08,52.4,53.8,51.9,52.3,5296034.5
2021-04-09,52.3,52.3,50.95,51.25,10070887.0
2021-04-12,52.5,54.5,50.0,52.25,22592478.0
2021-04-13,52.2,52.2,49.9,50.45,15709192.0
2021-04-14,50.45,51.95,49.35,49.45,11633034.0
2021-04-15,49.5,51.0,48.95,48.95,15016549.0
2021-04-16,49.35,50.95,48.5,50.2,21739748.0
2021-04-19,51.25,51.5,49.7,50.6,8501676.0
2021-04-20,50.15,51.25,49.6,50.9,19167858.0
2021-04-21,51.3,52.8,50.5,52.55,10725394.0
2021-04-22,51.15,52.5,51.15,51.9,8673130.0
2021-04-23,52.3,53.1,52.2,52.5,10799266.0
2021-04-26,52.9,53.85,52.75,53.7,12262827.0
2021-04-27,53.9,56.45,53.8,56.3,21523266.0
2021-04-28,56.65,57.3,55.8,55.9,17833020.0
2021-04-29,55.7,56.5,55.2,55.4,8873257.0
2021-04-30,55.4,55.95,53.3,54.0,8013407.0
2021-05-03,54.35,54.5,53.0,53.5,14610705.0
2021-05-04,53.0,54.0,52.45,52.7,22401968.0
2021-05-05,52.6,54.4,52.0,53.0,8654978.0
2021-05-06,53.2,54.45,51.7,53.9,9095335.0
2021-05-07,54.0,55.0,52.5,54.65,64588728.0
2021-05-10,56.3,56.7,54.0,54.2,34606648.0
2021-05-11,52.8,54.6,52.3,52.6,29849576.0
2021-05-12,53.0,53.5,51.0,51.2,16632010.0
2021-05-13,52.85,53.1,51.8,52.7,39189192.0
2021-05-14,55.0,56.3,54.7,56.0,67680128.0
2021-05-17,55.75,58.5,54.1,58.4,51808172.0
2021-05-18,58.7,60.0,57.95,59.8,64527068.0
2021-05-19,59.45,59.45,57.5,58.8,27428144.0
2021-05-20,58.0,60.55,58.0,60.25,39544720.0
2021-05-21,60.25,61.0,58.5,59.1,14809799.0
2021-05-26,59.0,59.7,57.0,59.5,9739509.0
2021-05-27,59.6,61.0,59.1,60.75,16005604.0
2021-05-28,61.5,63.2,61.5,63.05,42917856.0
2021-05-31,63.05,63.1,61.7,62.85,12551566.0
2021-06-01,63.9,65.9,63.9,65.3,88274832.0
2021-06-02,66.2,69.65,65.7,68.7,58012812.0
2021-06-03,68.6,71.6,65.2,71.3,49538132.0
2021-06-04,71.0,76.0,70.7,75.05,71476560.0
2021-06-07,76.55,79.25,74.6,77.1,106854088.0
2021-06-08,77.0,78.0,72.6,72.8,60246692.0
2021-06-09,73.5,77.5,72.9,76.0,103350968.0
2021-06-10,76.8,79.5,73.8,74.05,64907928.0
2021-06-11,74.0,74.0,71.0,73.15,38946836.0
2021-06-14,74.15,76.0,73.2,75.55,47815372.0
2021-06-15,76.35,77.5,73.35,76.4,113212440.0
2021-06-16,78.8,78.8,75.85,76.4,53678904.0
2021-06-17,78.0,78.0,74.0,74.7,52597056.0
2021-06-18,74.5,78.3,74.1,78.0,62205156.0
2021-06-22,74.8,78.5,72.0,76.75,89459528.0
2021-06-23,78.3,79.0,74.3,74.4,38544288.0
2021-06-24,76.5,77.7,76.3,77.1,56579708.0
2021-06-25,75.2,75.75,71.6,72.55,102736168.0
2021-06-28,73.0,74.2,71.8,72.65,26415918.0
2021-06-29,72.5,72.55,69.85,70.25,29223930.0
2021-06-30,69.25,71.7,69.2,69.3,15561503.0
