Date,Open,High,Low,Close,Volume
2020-09-04,38.0,38.5,37.0,38.3,8309849.0
2020-09-07,38.9,38.9,37.55,37.85,5976793.5
2020-09-08,37.7,37.75,36.5,37.65,7097803.0
2020-09-09,38.0,38.45,37.55,38.45,12221650.0
2020-09-10,38.8,39.45,38.55,38.85,20207932.0
2020-09-11,39.0,39.1,37.9,38.75,10810541.0
2020-09-14,39.1,39.1,37.95,38.1,9814150.0
2020-09-15,38.1,39.15,37.0,39.1,30896734.0
2020-09-16,37.9,40.75,37.0,39.55,59945988.0
2020-09-17,39.5,39.95,35.8,35.85,23270516.0
2020-09-18,35.85,37.7,35.15,37.1,14395319.0
2020-09-21,37.0,37.0,35.05,35.4,12896610.0
2020-09-22,36.0,36.4,34.1,36.0,20604336.0
2020-09-23,36.0,38.8,34.9,38.1,16056700.0
2020-09-24,38.7,39.05,37.0,38.35,23450516.0
2020-09-25,38.3,39.05,37.2,38.9,10403652.0
2020-09-28,39.1,40.1,38.5,39.9,26307336.0
2020-09-29,40.3,41.15,39.5,40.95,26980078.0
2020-09-30,41.5,41.95,38.55,38.75,26780056.0
2020-10-01,38.9,40.75,38.3,40.25,13794038.0
2020-10-02,40.25,41.3,38.55,41.0,17225192.0
2020-10-05,41.9,42.5,41.2,42.4,36274636.0
2020-10-06,42.5,48.0,42.0,47.4,81747224.0
2020-10-07,46.85,48.0,45.6,47.65,42362804.0
2020-10-08,46.3,48.0,46.15,46.45,18332574.0
2020-10-09,47.0,47.0,44.05,46.8,27299426.0
2020-10-13,46.5,46.5,45.1,45.85,26318698.0
2020-10-14,45.8,48.0,45.05,47.6,34517788.0
2020-10-15,47.8,49.7,46.0,49.6,31823436.0
2020-10-16,50.6,51.5,49.2,51.1,41745980.0
2020-10-19,52.0,52.1,48.7,49.6,33688980.0
2020-10-20,49.6,51.4,48.1,51.3,28287550.0
2020-10-21,51.5,54.0,50.8,52.6,42567612.0
2020-10-22,53.7,53.7,52.0,53.4,26292906.0
2020-10-23,53.4,57.7,50.4,57.6,54213692.0
2020-10-26,57.9,58.8,55.0,56.1,48294300.0
2020-10-27,56.2,57.3,50.5,51.1,27209768.0
2020-10-28,50.0,52.0,47.1,49.05,23044526.0
2020-10-29,49.05,51.7,49.0,51.3,24182964.0
2020-10-30,51.8,58.8,50.1,57.9,61383476.0
2020-11-02,57.9,59.6,54.0,57.7,25095704.0
2020-11-03,57.0,58.9,56.1,57.2,17381358.0
2020-11-04,58.0,58.0,54.0,54.5,25267726.0
2020-11-05,55.5,55.6,53.1,55.3,30221662.0
2020-11-06,56.5,56.5,53.0,54.7,18879978.0
2020-11-09,55.9,56.0,53.5,53.6,24978848.0
2020-11-10,53.6,54.5,51.0,52.5,28017922.0
2020-11-11,52.5,53.7,52.0,52.5,48157128.0
2020-11-12,53.2,53.4,50.0,50.7,25776942.0
2020-11-13,50.2,52.0,48.3,49.05,35874740.0
2020-11-16,49.3,50.7,49.0,49.95,31451952.0
2020-11-17,50.5,51.3,49.6,51.1,26978216.0
2020-11-18,51.9,51.9,50.2,50.8,26631434.0
2020-11-19,50.3,51.7,49.5,50.1,31910484.0
2020-11-20,50.2,50.9,49.7,50.4,33852968.0
2020-11-24,49.75,52.5,49.7,51.9,35517088.0
2020-11-25,52.8,53.9,52.0,52.8,37680536.0
2020-11-26,53.0,54.1,52.8,54.0,16848422.0
2020-11-27,54.2,55.0,51.8,53.3,27657078.0
2020-11-30,54.0,54.8,52.6,54.3,93095784.0
2020-12-01,54.3,55.5,54.1,54.8,37017520.0
2020-12-02,55.0,55.9,54.0,55.5,44147260.0
2020-12-03,56.0,56.1,54.7,55.5,62395124.0
2020-12-04,56.0,56.0,53.7,54.1,17723886.0
2020-12-09,54.0,54.7,51.0,51.2,40522932.0
2020-12-10,51.0,54.2,50.0,54.1,39164460.0
2020-12-11,54.8,55.4,53.6,54.8,28388292.0
2020-12-14,55.0,55.4,51.8,52.3,50068248.0
2020-12-15,52.5,53.5,51.6,53.3,45089916.0
2020-12-16,54.0,54.4,52.7,53.5,32931940.0
2020-12-17,53.4,54.0,52.0,52.6,35258036.0
2020-12-18,52.0,53.5,51.0,51.3,32638030.0
2020-12-21,51.3,51.3,48.5,48.7,33169622.0
2020-12-22,49.25,50.0,48.0,49.55,51029516.0
2020-12-23,50.1,50.1,47.9,48.55,45217116.0
2020-12-28,48.9,49.4,45.5,47.0,65011780.0
2020-12-29,47.1,47.55,46.55,46.8,15297735.0
2020-12-30,47.3,47.45,45.45,46.25,35159576.0
2021-01-04,46.3,50.0,46.3,49.75,40430424.0
2021-01-05,49.7,52.3,49.7,52.3,35471252.0
2021-01-06,52.5,55.4,52.5,54.8,47461888.0
2021-01-07,55.0,55.5,53.5,55.2,41999836.0
2021-01-08,55.2,55.6,54.0,55.2,33038484.0
2021-01-11,55.2,57.0,53.5,56.5,41139156.0
2021-01-12,56.5,56.5,55.0,56.2,25552338.0
2021-01-13,56.0,56.2,54.0,55.1,20727762.0
2021-01-14,54.5,56.5,53.5,55.1,14345950.0
2021-01-15,55.2,56.0,53.1,54.2,10792403.0
2021-01-18,54.0,54.9,52.5,54.0,8150469.0
2021-01-19,54.0,55.4,53.5,55.1,25728018.0
2021-01-20,55.0,55.3,53.6,55.1,32517032.0
2021-01-21,55.0,55.5,54.0,54.5,34578008.0
2021-01-22,54.5,54.5,52.9,54.3,18743968.0
2021-01-25,54.5,55.4,50.5,51.0,29772096.0
2021-01-26,51.0,51.5,49.8,51.5,49120372.0
2021-01-27,51.0,52.0,50.7,51.0,7087501.0
2021-01-28,52.1,52.1,49.75,49.9,19730526.0
2021-01-29,50.6,50.6,48.1,48.3,11377730.0
2021-02-01,48.5,51.0,48.3,50.6,30817326.0
2021-02-02,50.1,51.7,50.1,50.9,10165516.0
2021-02-03,50.8,51.7,49.05,49.3,33075218.0
2021-02-04,49.5,49.8,48.2,49.0,26714370.0
2021-02-05,48.3,49.0,48.3,49.0,15023067.0
2021-02-08,50.0,50.0,48.75,48.9,13423840.0
2021-02-09,48.85,50.4,48.5,49.9,25828146.0
2021-02-10,50.0,50.6,49.5,50.6,14919811.0
2021-02-11,50.4,51.5,50.1,50.4,19246928.0
2021-02-12,51.0,51.4,50.0,50.9,12981462.0
2021-02-17,51.0,52.0,50.0,51.3,16750610.0
2021-02-18,51.3,52.0,49.8,51.7,30853480.0
2021-02-19,52.0,52.4,50.6,52.4,22002230.0
2021-02-22,53.0,54.0,52.7,53.5,38681072.0
2021-02-23,54.0,54.0,50.2,51.0,27329018.0
2021-02-24,51.0,53.3,51.0,53.0,19533450.0
2021-02-25,52.9,53.4,51.1,52.5,33820752.0
2021-02-26,51.1,52.4,50.0,52.1,14952509.0
2021-03-01,51.1,52.2,50.5,50.9,25144602.0
2021-03-02,51.3,51.3,48.6,48.65,47018576.0
2021-03-03,49.0,49.4,47.2,47.3,22059476.0
2021-03-04,47.3,48.5,46.5,47.35,17633430.0
2021-03-05,47.2,48.0,46.0,47.85,16832216.0
2021-03-08,47.8,48.0,45.6,45.85,11902156.0
2021-03-09,45.9,46.9,44.0,44.1,36579768.0
2021-03-10,44.6,45.0,42.5,43.5,45359068.0
2021-03-11,44.0,45.65,43.05,45.6,36551844.0
2021-03-12,46.0,47.2,45.25,46.9,32640930.0
2021-03-15,46.5,47.9,46.5,47.75,27462650.0
2021-03-16,48.2,48.25,46.25,46.8,31449112.0
2021-03-17,47.2,47.2,45.7,46.65,22717104.0
2021-03-18,46.6,46.8,44.5,45.4,28532694.0
2021-03-19,45.4,46.5,44.45,45.75,25301550.0
2021-03-22,46.65,48.75,45.5,48.45,43797332.0
2021-03-23,48.9,49.4,48.0,49.15,48764232.0
2021-03-25,47.0,48.95,46.3,47.0,37182932.0
2021-03-26,47.9,47.9,45.5,46.85,27870680.0
2021-03-29,47.4,50.1,46.55,49.9,45033844.0
2021-03-30,49.9,51.0,48.8,50.7,31083860.0
2021-03-31,50.0,51.0,48.8,50.1,49921064.0
2021-04-05,50.1,50.9,49.45,50.7,25725720.0
2021-04-06,50.0,52.5,50.0,52.2,37734324.0
2021-04-07,52.2,53.4,52.0,52.8,41534600.0
2021-04-08,53.4,53.4,50.7,51.6,29518038.0
2021-04-09,51.0,51.5,50.0,50.9,22744166.0
2021-04-12,51.2,51.2,48.5,50.1,53486432.0
2021-04-13,50.1,50.5,49.0,50.3,10921675.0
2021-04-14,49.9,50.9,49.05,49.7,18647902.0
2021-04-15,50.4,50.4,49.05,49.75,16543344.0
2021-04-16,50.0,50.8,49.05,50.5,25298412.0
2021-04-19,49.7,51.5,49.7,51.1,15067504.0
2021-04-20,51.4,51.4,49.25,49.95,31172528.0
2021-04-21,49.3,51.4,49.0,51.0,34977980.0
2021-04-22,51.0,51.5,50.0,51.2,67536552.0
2021-04-23,51.2,54.3,51.0,54.2,78111176.0
2021-04-26,55.0,55.7,53.5,53.8,37627704.0
2021-04-27,54.0,54.5,52.1,54.2,37560732.0
2021-04-28,55.0,55.3,54.0,55.1,41070940.0
2021-04-29,55.9,56.3,55.0,56.2,26491762.0
2021-04-30,56.4,56.4,54.5,55.0,29768734.0
2021-05-03,55.0,55.0,54.0,54.8,43138752.0
2021-05-04,54.3,55.3,54.1,55.1,36471224.0
2021-05-05,55.3,55.7,53.6,55.1,74884296.0
2021-05-06,55.2,55.5,53.8,54.8,56962120.0
2021-05-07,55.0,57.0,54.0,56.7,44585396.0
2021-05-10,57.0,57.7,55.5,56.2,31401264.0
2021-05-11,56.4,56.4,55.0,56.1,30073978.0
2021-05-12,56.1,56.9,55.0,55.3,30016554.0
2021-05-13,55.8,57.0,55.8,56.7,43639736.0
2021-05-14,56.7,59.3,55.7,59.1,52171104.0
2021-05-17,59.5,60.0,57.1,57.4,94336424.0
2021-05-18,56.5,58.4,56.5,57.9,30960938.0
2021-05-19,57.5,59.0,56.1,59.0,43755296.0
2021-05-20,58.9,60.0,58.1,59.7,32091834.0
2021-05-21,59.9,60.0,58.2,58.6,31452478.0
2021-05-26,58.7,60.0,58.2,59.4,21694688.0
2021-05-27,59.5,60.3,59.0,60.0,70951344.0
2021-05-28,60.0,62.6,59.9,62.5,49016428.0
2021-05-31,63.0,64.0,62.5,63.4,30586448.0
2021-06-01,63.4,64.1,61.1,61.5,57254168.0
2021-06-02,61.4,64.5,59.5,64.2,88561248.0
2021-06-03,64.4,66.7,63.1,66.2,68725160.0
2021-06-04,66.5,69.5,65.8,69.0,69870600.0
2021-06-07,69.0,71.0,67.0,67.2,45541064.0
2021-06-08,67.0,68.5,65.1,66.9,72139584.0
2021-06-09,66.7,68.9,66.7,68.6,68965368.0
2021-06-10,69.3,69.5,66.8,67.9,68536608.0
2021-06-11,68.1,69.0,67.2,68.7,58327196.0
2021-06-14,69.0,70.8,68.1,70.1,50034364.0
2021-06-15,70.5,70.8,68.0,70.3,54295084.0
2021-06-16,70.5,70.8,68.7,70.6,52297832.0
2021-06-17,70.9,71.4,69.8,71.0,55406656.0
2021-06-18,71.3,71.3,69.3,69.6,16825664.0
2021-06-22,69.0,70.3,68.0,70.3,40984896.0
2021-06-23,70.3,73.4,70.0,73.3,85693640.0
2021-06-24,73.0,77.0,71.5,76.8,46921932.0
2021-06-25,73.5,77.5,71.1,77.1,82881552.0
2021-06-28,77.0,78.0,73.6,74.8,37747116.0
2021-06-29,75.2,75.2,72.9,73.5,66046064.0
2021-06-30,73.9,74.4,69.5,70.6,66658064.0
2021-07-01,70.8,71.5,69.5,70.1,31642812.0
2021-07-02,70.8,73.3,69.9,73.2,44395476.0
2021-07-05,73.5,75.9,73.5,75.8,35510536.0
2021-07-06,75.8,77.0,74.0,76.6,56812132.0
2021-07-07,77.0,77.9,74.6,76.0,48120768.0
2021-07-08,76.2,76.2,74.0,74.4,33471692.0
2021-07-12,74.8,76.8,73.3,74.2,51574388.0
2021-07-13,74.5,75.4,72.6,74.8,133955024.0
2021-07-14,75.0,75.5,73.4,74.6,22487076.0
2021-07-15,74.4,75.0,73.2,75.0,30887328.0
2021-07-16,75.8,75.8,74.0,75.1,16005231.0
2021-07-19,74.3,75.5,72.7,72.8,29166850.0
2021-07-20,72.8,75.0,72.8,74.6,40548412.0
2021-07-21,75.1,80.0,75.1,79.8,57892716.0
2021-07-22,79.0,80.7,78.8,79.5,30356308.0
2021-07-23,79.6,80.0,79.0,79.2,31648434.0
2021-07-26,79.9,79.9,78.3,78.5,18483592.0
2021-07-27,79.0,80.5,78.0,80.1,41639884.0
2021-07-28,79.9,83.7,78.1,83.6,44944644.0
2021-07-29,84.5,85.4,83.8,85.1,61838524.0
2021-07-30,86.0,86.5,83.8,84.2,49667596.0
2021-08-02,85.0,85.8,82.5,84.5,51807460.0
2021-08-03,84.5,85.4,82.3,82.9,37789352.0
2021-08-04,84.3,84.3,80.1,83.1,51426032.0
2021-08-05,83.7,83.7,82.6,83.5,44967236.0
2021-08-06,83.0,83.9,79.3,80.8,100427944.0
2021-08-09,80.5,84.5,80.3,84.3,59771376.0
2021-08-10,85.1,86.8,84.4,86.5,58867516.0
2021-08-11,86.4,89.2,86.1,87.6,36668080.0
2021-08-12,88.5,89.6,87.0,88.6,50405252.0
2021-08-13,89.0,90.0,87.0,90.0,28552386.0
2021-08-17,90.5,91.3,88.0,89.5,28945660.0
2021-08-18,89.7,90.3,86.4,87.6,43437308.0
2021-08-19,87.5,88.5,85.1,88.4,36928092.0
2021-08-20,88.0,90.1,87.5,90.0,58291784.0
2021-08-23,90.2,92.0,89.9,90.3,38567596.0
2021-08-24,92.0,92.0,88.0,89.9,54692820.0
2021-08-25,90.0,90.9,88.2,89.4,46461076.0
2021-08-26,89.5,89.5,87.5,87.9,48734632.0
2021-08-27,88.5,89.3,87.1,88.5,55826688.0
2021-08-30,89.4,90.4,88.2,90.2,53257976.0
2021-08-31,90.9,90.9,88.7,90.4,44029012.0
2021-09-01,89.8,91.8,89.0,91.2,57377240.0
2021-09-02,90.0,92.6,90.0,92.4,53172656.0
2021-09-03,93.0,96.0,92.0,95.7,58009812.0
2021-09-06,96.0,99.0,95.5,98.7,36136632.0
2021-09-07,99.0,101.0,98.1,100.0,73569344.0
2021-09-08,101.0,101.75,98.0,100.0,63308376.0
2021-09-09,100.25,100.25,97.0,99.5,47987468.0
2021-09-10,100.0,101.5,95.0,96.9,54097712.0
2021-09-13,103.0,106.75,97.0,100.25,87597408.0
2021-09-14,99.0,100.0,98.1,99.8,72577504.0
2021-09-15,99.9,102.0,98.0,100.0,34749164.0
2021-09-16,99.6,102.5,97.1,100.75,77333424.0
2021-09-17,100.0,101.75,97.1,98.1,27872714.0
2021-09-20,94.6,97.9,92.1,93.6,110419792.0
2021-09-21,94.0,96.0,93.1,94.6,62392460.0
2021-09-22,95.0,96.2,90.0,90.7,83702984.0
2021-09-23,92.3,92.9,88.8,90.6,117819480.0
2021-09-24,92.0,92.0,90.3,91.3,40658196.0
2021-09-27,92.0,92.5,90.0,90.1,39058356.0
2021-09-28,90.0,91.4,89.2,91.2,47929740.0
2021-09-29,91.2,92.7,90.5,91.2,62472856.0
2021-09-30,92.1,93.4,91.5,93.3,49352640.0
2021-10-01,94.5,94.8,93.3,94.4,41139712.0
2021-10-04,94.8,96.5,92.0,92.7,35380400.0
2021-10-05,93.0,96.0,92.1,93.7,89924464.0
2021-10-06,94.1,94.1,92.0,92.1,22972342.0
2021-10-07,92.9,93.0,90.0,90.4,75709888.0
2021-10-12,90.5,92.2,89.9,90.0,76042920.0
2021-10-13,90.9,93.9,90.9,93.1,81972936.0
2021-10-14,94.0,97.7,93.5,97.2,53073156.0
2021-10-15,97.2,99.9,97.2,99.6,80939520.0
2021-10-18,100.0,103.0,99.0,101.0,92088456.0
2021-10-19,102.0,105.5,101.25,104.0,105504392.0
2021-10-20,104.5,105.5,102.75,104.75,123881312.0
2021-10-21,104.75,105.5,101.5,104.25,88853272.0
2021-10-22,105.0,105.0,102.5,104.5,47784624.0
2021-10-25,105.75,111.25,105.0,109.75,111328448.0
2021-10-26,112.0,114.0,106.0,107.75,143835584.0
2021-10-27,108.75,109.75,102.25,103.25,66894332.0
