Date,Open,High,Low,Close,Volume
2020-09-04,679.95,679.95,646.0,672.25,66165192
2020-09-07,675.0,685.0,669.0,677.15,27678428
2020-09-08,662.0,664.5,650.55,664.2,40077548
2020-09-09,670.0,684.0,670.0,681.9,70133304
2020-09-10,683.0,691.0,665.1,669.2,123303560
2020-09-11,671.5,684.95,665.0,668.15,67621608
2020-09-14,661.0,668.0,646.15,649.4,51930156
2020-09-15,645.6,658.0,637.85,654.4,70978784
2020-09-16,610.05,647.0,604.0,613.85,112692200
2020-09-17,613.0,613.0,574.95,580.25,144480192
2020-09-18,579.95,600.0,570.0,596.75,162917040
2020-09-21,580.0,587.55,570.0,572.65,102870880
2020-09-22,572.65,575.05,546.25,559.45,99824296
2020-09-23,560.95,564.0,545.0,549.1,68844384
2020-09-24,548.95,559.0,535.0,551.05,109779064
2020-09-25,547.95,547.95,538.0,541.1,62171140
2020-09-28,546.0,555.0,533.2,545.6,51123480
2020-09-29,541.25,547.95,525.0,539.7,71976616
2020-09-30,550.0,559.0,509.0,516.7,134084176
2020-10-01,520.0,554.2,519.5,549.6,90079848
2020-10-02,545.9,570.0,530.15,560.0,55137940
2020-10-05,560.0,581.0,553.0,579.0,81898232
2020-10-06,585.0,594.45,554.0,561.0,140102112
2020-10-07,561.0,573.0,541.0,567.6,123180056
2020-10-08,567.65,587.0,560.0,586.45,51140236
2020-10-09,588.05,612.0,587.0,610.6,92450240
2020-10-13,597.0,606.0,585.0,594.55,75609880
2020-10-14,601.2,614.1,601.2,611.45,90055728
2020-10-15,606.9,619.0,598.0,617.05,81444136
2020-10-16,617.0,622.0,602.5,607.0,108296840
2020-10-19,619.05,625.0,582.7,589.95,112663192
2020-10-20,586.5,610.0,586.5,597.45,192692608
2020-10-21,599.45,604.0,583.0,586.55,105261088
2020-10-22,587.0,627.9,586.55,622.65,86570160
2020-10-23,623.05,642.0,601.0,640.5,101574576
2020-10-26,639.0,639.0,589.0,594.95,88796720
2020-10-27,595.0,605.0,560.0,562.05,69834664
2020-10-28,530.0,536.0,510.0,511.0,164810640
2020-10-29,509.95,517.0,493.6,515.05,129025016
2020-10-30,515.8,516.5,497.0,510.4,83616160
2020-11-02,519.95,524.5,495.0,521.45,71498272
2020-11-03,530.0,554.95,526.1,545.3,81192288
2020-11-04,542.2,565.5,530.0,534.45,52124504
2020-11-05,536.0,572.0,536.0,570.7,75284136
2020-11-06,572.0,579.85,542.0,555.4,42771252
2020-11-09,580.0,610.0,580.0,608.75,105143600
2020-11-10,605.0,714.0,590.05,703.4,490956448
2020-11-11,700.0,731.55,665.0,670.15,242339408
2020-11-12,666.0,685.0,645.0,648.85,86188240
2020-11-13,644.95,675.0,644.45,673.85,90896904
2020-11-16,692.6,710.0,692.6,701.05,92304336
2020-11-17,699.0,730.25,674.0,718.1,199510224
2020-11-18,718.2,731.75,718.2,725.7,107438208
2020-11-19,720.0,734.95,702.3,708.95,73327176
2020-11-20,708.95,731.0,708.95,727.45,66468064
2020-11-24,745.0,820.35,745.0,803.55,460731264
2020-11-25,800.0,815.0,770.0,771.5,212784272
2020-11-26,760.55,790.0,760.0,779.85,35015604
2020-11-27,769.05,823.0,769.05,812.65,134394640
2020-11-30,810.05,812.0,750.0,765.4,181967664
2020-12-01,780.0,797.9,766.0,788.4,146269920
2020-12-02,765.1,801.95,765.1,781.0,77786920
2020-12-03,779.95,788.0,759.1,760.05,89097200
2020-12-04,766.0,802.0,766.0,781.45,100779880
2020-12-09,776.95,776.95,729.0,733.1,183183328
2020-12-10,740.0,784.0,735.0,776.95,255579280
2020-12-11,772.0,778.45,762.3,774.85,60912656
2020-12-14,776.15,789.0,767.15,779.6,92204424
2020-12-15,779.0,785.0,765.15,771.65,67468464
2020-12-16,771.0,797.95,770.05,778.8,114962744
2020-12-17,778.8,798.0,769.25,771.6,89581512
2020-12-18,774.95,780.0,756.0,762.55,91391296
2020-12-21,757.0,757.0,700.0,718.0,90033496
2020-12-22,722.0,740.0,703.0,706.35,129984216
2020-12-23,705.5,741.75,700.05,738.85,73577104
2020-12-28,742.95,742.95,704.5,705.35,109139848
2020-12-29,715.0,721.5,701.0,706.5,74268592
2020-12-30,710.0,719.95,690.0,693.85,98552848
2021-01-04,690.0,697.5,662.0,676.25,90237016
2021-01-05,672.0,693.5,671.05,690.3,71271576
2021-01-06,696.0,705.0,690.0,694.3,69741792
2021-01-07,690.0,725.0,690.0,723.2,70363368
2021-01-08,722.95,740.0,688.1,689.7,108517680
2021-01-11,688.0,689.0,665.0,667.55,43464396
2021-01-12,670.0,681.0,631.1,640.35,104173712
2021-01-13,640.0,652.0,613.0,628.9,227092400
2021-01-14,629.0,646.0,601.0,639.8,228767232
2021-01-15,638.0,638.0,612.0,615.4,102771336
2021-01-18,605.5,627.0,601.0,619.45,31538308
2021-01-19,629.95,635.0,604.15,608.7,113645856
2021-01-20,597.0,597.0,563.0,569.1,296324928
2021-01-21,569.0,578.0,516.0,520.05,417549472
2021-01-22,521.0,573.0,521.0,560.4,481119712
2021-01-25,559.9,575.0,525.1,532.65,239078608
2021-01-26,549.05,588.5,549.05,587.45,346516384
2021-01-27,584.0,645.0,568.8,626.6,413106144
